cod_serv_propio,Frequency.1,codes,spanish description,english description,comment
261,1,CVAA,CIRUGIA VASCULAR: GENERAL,,
527,1,ONC1,C. ONCOLOGIA,,
468,1,1360,TOCO-GINECOLOGIA,,
596,1,CCV,CIRUGIA CARDIOVASCULAR,,
746,1,CHDP,H DIA PSIQUIATRIA,,
51,1,UMI,MEDICINA INTENSIVA,,
548,1,FAE,FISIOTERAPIA A. ESPECIALIZADA,,
650,1,HIAZ,HOSPITAL-UCSI: Anestesia,,
870,1,CVI,CARDIOVASCULAR INFANTIL,,
698,1,CSII,PSIQUIATRIA INFANTIL,,
306,1,UROM,UROLOGÍA MISLATA,,
254,1,06,Medicina Digestiva,,
207,1,FMA,UNIDAD DE FIBROMIALGIA Y FATIGA CRÓNICA,,
174,1,65,Oftalmolog¡a,,
219,1,CUMM,U FUNCIONAL MAMA,,
195,1,35,Anestesia y Reanimación,,
256,1,CMDG,GASTROENTEROLOGIA,,
93,1,CODO,CONSULTA ODONTOLOGIA,,
319,1,CUHD,HOSP. DOMICILIARIA (CONSULTA),,
144,1,MDER,DERMATOLOGIA MONTEOLIVETE,,
788,1,HDE,HIGIENISTA DENTAL,,
279,1,1454,MEDICINA INTERNA,,
408,1,SOBS,OBSTETRICIA,,
764,1,05,Angiolog¡a y Cir.Vasc.,,
618,1,HGIN,GINECOLOGIA,,
141,1,EMCE,CORTA ESTANCIA (H.LLIRIA),,
635,1,ACLA,ANALISIS CLINICOS: GENERAL,,
257,1,BCAR,CARDIOLOGIA (C.E.BURJASSOT),,
420,1,CPLCC,CIR. PLASTICA Y RECONSTR. CEX,,
822,1,CENJ,CONSULTA ENDOCRINO (N.J.),,
851,1,NPSC,NEUROPSICOLOGÍA,,
24,1,947,UROLOGIA,,
192,1,83,Neumolog¡a Infantil,,
190,1,AMCE,CORTA ESTANCIA (H.ARNAU),,
114,1,HEPA,HOSPITAL-CONSULTA: Ped. Alergía,,
526,1,NFL,NEUROFISIOLOGIA,,
590,1,AMIN,MEDICINA INTERNA (H.ARNAU),,
594,1,MURO,UROLOGIA MONTEOLIVETE,,
236,1,1255,FARMACIA,,
100,1,10069,MEDICINA INTERNA,,
703,1,CURI,UROLOGIA INFANTIL,,
54,1,MCIR,CIRUGIA GENERAL MONTEOLIVETE,,
33,1,2,Alergia,,
760,1,CCVI,CIR CARDIOVASCULAR INFANTIL,,
387,1,REP,REPRODUCCION,,
293,1,CMNU,CEX MEDICINA NUCLEAR,,
891,1,PRE,MEDICINA PREVENTIVA (CEX),,
561,1,ATRA,TRAUMATOLOGIA ALDAIA,,
509,1,REUA,REUMATOLOGÍA Y METABOLISMO ÓSEO: GENERAL,,
115,1,HEM1,C. HEMATOLOGIA,,
610,1,CCAR,CARDIO C.E.,,
275,1,HDI,HOSPITAL DE DIA,,
447,1,UDO,UNIDAD DE DOLOR,,
157,1,LNEM,NEUMOLOGIA (C.E.LLIRIA),,
691,1,19,Hematolog¡a,,
878,1,LODO,ODONTOLOGIA (LLIRIA),,
709,1,HOFT,OFTALMOLOGIA,,
251,1,CRTE,CEX ONCOLOGIA RADIOTERAPICA,,
654,1,21,Medicina Interna,,
716,1,33,ONCOLOGÍA RAD. CE,,
412,1,DIG,MED. DIGESTIVA,,
130,1,PRHB,REHABILITACION,,
241,1,901,TOCO-GINECOLOGIA,,
507,1,APSC,PSICOLOGIA CLINICA (H.ARNAU),,
206,1,GECR,C.ENDOCRINOLOGIA - C.E.GERONA,,
567,1,MIN1,C. MED. INTERNA,,
9,1,NFI,NEFROLOGIA INFANTIL,,
658,1,NERC,NEUROLOGIA CEX,,
647,1,CGEN,GENETICA,,
191,1,CREP,C. EXT. REPRODUCCION,,
282,1,EECZ,C.E.PORT-CONS/EXPL: Cirugía,,
291,1,CCPL,CEX. CIRUGIA PLASTICA,,
593,1,CENF,CEX ENFERMERIA,,
786,1,ALEM,ALERGOLOGÍA MISLATA,,
454,1,HNCG,NEUROCIRUGIA,,
643,1,APA,ANAT.PATOLOGICA,,
879,1,MET,METABOLOPATIAS,,
14,1,1026,MEDICINA INTERNA,,
601,1,PEDA,PEDIATRIA: GENERAL,,
223,1,ORLC,OTORRINOLARING. CEX,,
740,1,LALE,ALERGIA (C.E.LLIRIA),,
793,1,ACM,MEDICO ATENCION CONTINUADA,,
15,1,PEDC,PEDIATRIA CEX,,
789,1,PSE,PSICOLOGIA ESTIMULACION PRECOZ,,
336,1,10181,MEDICINA PREVENTIVA,,
69,1,SGIN,GINECOLOGIA,,
591,1,ECIR,CIRUGIA (C.ESP),,
543,1,EAE,E.AT.ESP.,,
410,1,JORL,C.ESP.ORL OTORRINOLARINGOLOGIA,,
439,1,MUHD,MEDICO UHD,,
802,1,ACE,ENFERMERIA ATENCION CONTINUADA,,
840,1,HEPZ,HOSPITAL-CONSULTA: Pediatría,,
893,1,PURO,UROLOGIA CATARROJA,,
247,1,43,Cirugía Torácica,,
295,1,ETRA,TRAUMATOLOGIA (H.LLIRIA),,
857,1,SEMN,C.I.SEG-CONS/EXPL: Neumología,,
841,1,HMD,HEMODINAMICA,,
104,1,10033,TRAUMATOLOGIA,,
175,1,FARA,FARMACIA: GENERAL,,
743,1,CECI,ENDOCRINOLOGIA INFANTIL,,
529,1,UHDA,UNIDAD HOSPITALIZACION DOMICILIO: GENERAL,,
152,1,HERZ,HOSPITAL-CONSULTA: Otorrinolaringología,,
382,1,BG,Unidad de Fibromialgia y fatiga cr¢nica,,
403,1,OFTE,OFTALMOLOGÍA ALDAIA,,
449,1,EALE,ALERGIA (C.ESP),,
73,1,CMET,METABOLOPATIAS INFANTIL,,
718,1,GERC,GERIATRÍA CEX,,
713,1,AURO,UROLOGIA (H.ARNAU),,
245,1,CCAI,C. EXT. CARDIOLOGIA PEDIATRICA,,
426,1,MTOC,TOCOLOGIA MONTEOLIVETE,,
296,1,84,Nefrolog¡a Infantil,,
475,1,JCVA,CIRURGIA VASCULAR (CE JAUME I),,
99,1,04,Radioterapia,,
628,1,COBS,CEX OBSTETRICIA,,
564,1,RHB,REHABILITACION,,
859,1,TUHD,TRABAJADOR SOCIAL UHD,,
416,1,NEFC,NEFROLOGIA CEX,,
663,1,162,UNIDAD DE CONDUCTAS ADICTIVAS - CE,,
678,1,CPDT,PEDIATRIA (CEX),,
179,1,943,MEDICINA INTERNA,,
779,1,48,NEUROLOGÍA - CE,,
41,1,EPSI,PSIQUIATRIA (H.LLIRIA),,
44,1,37,HEMATOLOGIA,,
383,1,OORL,Obsoleto - NO USAR,,
457,1,EEMA,C.E.PORT-CENTRALES:Alergología,,
78,1,CDIE,CEX NUTRICION Y DIETETICA,,
607,1,ACIR,CIRUGIA (H.ARNAU),,
783,1,CEST,ESTERILIDAD,,
111,1,FAR,FARMACIA,,
626,1,1225,MEDICINA INTERNA,,
72,1,OFT1,C. OFTALMOLOGIA,,
675,1,UDA,ADMISION Y DOCUMENTACION,,
147,1,TSE,TRABAJO SOCIAL ESPECIALIZADA (NO EN OTRAS UDS),,
248,1,CUAC,U ARRITMIAS CARDIACAS,,
739,1,UPM,UNIDAD MAMA,,
514,1,CNAI,NEUMOLOGIA Y ALERGIA INFANTIL,,
31,1,CMPR,CEX MEDICINA PREVENTIVA,,
597,1,113,Cirugía Plástica,,
776,1,AK,Unidad de N¢dulo Pulmonar,,
390,1,REAA,ANESTESIA-REANIMACION: GENERAL,,
535,1,5,Cardiología,,
682,1,SEMZ,C.I.SEG-CONS/EXPL:M.Interna General,,
887,1,PDER,DERMATOLOGIA,,
209,1,LMDI,DIGESTIVO (C.E.LLIRIA),,
333,1,SECR,ENDOCRINO C.EE.,,
360,1,CCDG,CIR DIGESTIVO,,
483,1,HREU,REUMATOLOGIA,,
200,1,MCAR,CARDIOLOGIA MONTEOLIVETE,,
292,1,SMDI,DIGESTIVO,,
680,1,EEMR,C.E.PORT-CONS/EXPL: Neurología,,
188,1,ANFC,NEUROFISIOLOGIA (H.ARNAU),,
619,1,859,MEDICINA INTERNA,,
270,1,CANI,ANESTESIA INFANTIL,,
325,1,MODO,ODONTOLOGIA MONTEOLIVETE,,
469,1,56,Otorrinolaringolog¡a,,
697,1,25,Medicina Interna,,
154,1,HETZ,HOSPITAL-CONSULTA: Traumatología,,
595,1,CEPR,U EPILEPSIA REFRACTARIA,,
95,1,HEMF,HOSPITAL-CONSULTA: MInt Nefrología,,
201,1,26,Neumología,,
148,1,HDPZ,HOSPITAL-HOSPDIA: Pediatría,,
869,1,CSI,CIRUGIA SIN INGRESO,,
726,1,CCVC,CIRUGÍA VASCULAR CEX,,
876,1,HAVZ,HOSPITAL-UHD: Gestión de crónicos,,
385,1,REUC,REUMATOLOGÍA CEX,,
117,1,OBS1,C.OBSTETRICIA,,
605,1,EURO,UROLOGIA (C.ESP),,
897,1,USD,UNIDAD SANGRANTES DIGESTIVOS,,
394,1,PED,PEDIATRIA,,
67,1,CHMD,U HEMODINAMICA,,
320,1,204,UNIDAD DE ELECTROESTIMULACIÓN - CE,,
135,1,0,Hospitalización Domiciliaria,,
715,1,CREI,REUMATOLOGIA INFANTIL,,
328,1,EMDI,DIGESTIVO (H.LLIRIA),,
886,1,PCOT,CIR.ORTOPEDICA TRAUMA CATARROJ,,
580,1,CADM,ADMISION  DE CEX,,
872,1,EESZ,C.E.PORT-CONS/EXPL: Psiquiatría,,
464,1,ORL1,C. OTORRINO,,
297,1,USME,UNIDAD SALUD MENTAL SEDAVI,,
259,1,JURQ,UNIDAD RAQUIS,,
521,1,COCC,CEX COMITE ONCOL. CABEZA/CUELL,,
379,1,GIN1,C. GINE,,
763,1,ODOM,ODONTOLOGÍA MISLATA,,
732,1,HEM,HEMATOLOGIA,,
894,1,QUE,QUEMADOS,,
518,1,BTRA,TRAUMATOLOGIA (C.E.BURJASSOT),,
84,1,1025,MEDICINA INTERNA,,
27,1,AU,Unidad Tratamiento Anticoagulante,,
37,1,HODN,ODONTOLOGIA,,
817,1,1302,REHABILITACION,,
45,1,CDIG,CEX. DIGESTIVO,,
821,1,CECO,ECOCARDIOGRAMAS (CEX),,
196,1,CUTS,C. EXT. UNIDAD DEL SUEÑO,,
123,1,LAC,LACTANCIA MATERNA,,
723,1,SEMM,C.I.SEG-CONS/EXPL: Dermatologia,,
124,1,CUDO,C. EXT. UNIDAD DOLOR CRONICO,,
240,1,CRHB,CEX REHABILITACION,,
96,1,152,UNIDAD DEL DOLOR - CE,,
35,1,CCA,CIRUGIA CARDIACA,,
785,1,944,OTORRINOLARINGOLOGIA,,
208,1,ECRA,ENDOCRINOLOGÍA: GENERAL,,
827,1,CUTH,C. EXT. UNIDAD HIPERBARICA,,
243,1,TORL,Obsoleto - NO USAR,,
227,1,CSIC,PSICOLOGIA,,
46,1,CCMX,CEX CIRUGIA MAXILOFACIAL,,
225,1,OBS,OBSTETRICIA,,
784,1,906,PEDIATRIA,,
511,1,URHA,UNIDAD REPRODUCCION HUMANA: GENERAL,,
701,1,CFAR,CEX FARMACIA,,
424,1,66,Cirug¡a M xilo-facial,,
787,1,CTGN,CEX TOCOGINECOLOGIA,,
168,1,LOFT,OFTALMOLOGIA (C.E.LLIRIA),,
263,1,GINO,TOCOGINECOLOGIA: OBSTETRICIA,,
228,1,PECR,ENDOCRINO JI,,
714,1,BMDI,DIGESTIVO (C.E.BURJASSOT),,
66,1,DPN,DIAGNOSTICO PRENATAL,,
875,1,GER,GERIATRIA,,
149,1,JTRA,C.ESP.TRAUMATOLOGIA,,
396,1,JOBS,C.ESP.OBSTETRICIA,,
23,1,INM,INMUNOLOGIA,,
348,1,MDI,DIGESTIVO,,
181,1,ECOT,TRAUMA-CIR.ORT.(C.ESP),,
372,1,JMDI,C.ESP.DIGESTIVO,,
40,1,ESA,ENFERMERIA SAIP,,
224,1,76,Odonto-Estomatolog¡a,,
62,1,SOPT,OPTOMETRIA,,
686,1,CONC,CEX ONCOLOGIA,,
460,1,ENDE,ENDOCRINOLOGÍA ALDAIA,,
620,1,HMIN,MED. INTERNA,,
577,1,NEM,NEUMOLOGIA,,
873,1,ESC,ESCOLARES,,
286,1,MNER,NEUROLOGIA MONTEOLIVETE,,
720,1,ORLE,OTORRINOLARING. ALDAIA,,
406,1,GCAR,CARDIOLOGIA C. ESPECIALIDADES,,
812,1,PSM,PSIQUIATRA SALUD MENTAL,,
305,1,REU1,C. REUMA,,
321,1,RHBM,REHABILITACIÓN MISLATA,,
705,1,BGIN,GINECOLOGIA (C.E.BURJASSOT),,
588,1,UROC,UROLOGIA CEX,,
97,1,10166,TOCO-GINECOLOGIA,,
352,1,HCCZ,HOSPITAL-CENTRALES: Ud. Coloproctologia,,
359,1,MAE,MATRONA A. ESPECIALIZADA,,
646,1,DERM,DERMATOLOGÍA MISLATA,,
202,1,8,Cirugía Ortopédica y Traumatológica,,
58,1,CORI,OTORRINO INFANTIL,,
120,1,CNCG,CEX. NEUROCIRUGIA,,
268,1,CTRA,C. EXT. TRAUMATOLOGIA,,
549,1,ONCC,ONCOLOGIA CEX,,
615,1,NEF1,NEFROLOGIA,,
668,1,CNG,CONSEJO GENETIC,,
815,1,1300,REHABILITACION,,
450,1,52,DERMATOLOGÍA - CE,,
485,1,119,HEMATOLOGÍA - CE,,
490,1,10167,TRAUMATOLOGIA,,
266,1,LGIN,GINECOLOGIA (C.E.LLIRIA),,
391,1,OFTA,OFTALMOLOGIA: GENERAL,,
704,1,ONCA,ONCOLOGIA: GENERAL,,
805,1,ESS,ENFERMERIA SALUD SEXUAL Y REPRODUCTIVA,,
269,1,HDIA,HOSPITAL DE DIA,,
309,1,BALE,ALERGIA (C.E.BURJASSOT),,
216,1,219,ALTA RESOLUCION,,
652,1,GNER,C.NEUROLOGIA - C.E.GERONA,,
756,1,171,UNIDAD HOSPITALARIA DOMICILIARIA.-CE,,
653,1,CEPI,MEDICINA PREVENTIVA,,
322,1,HPSI,PSIQUIATRIA,,
274,1,AINF,INFECCIOSOS (H.ARNAU),,
831,1,HCMD,HOSPITAL-CENTRALES: Ud.Motilidad Digest.,,
401,1,URG,URGENCIAS HOSPITALARIAS,,
742,1,ANES,ANESTESIA(C.E.),,
301,1,10154,MEDICINA INTERNA,,
622,1,MPR,MEDICINA PREVENTIVA,,
823,1,CHMI,HEMATOLOGIA INFANTIL,,
351,1,GODO,C.ODONTOLOGIA - C.E.GERONA,,
553,1,CMX,CIRUGIA MAXILOFACIAL,,
83,1,MOFT,OFTALMOLOGIA MONTEOLIVETE,,
466,1,CIRH,CIRUGIA GENERAL Y DIGESTIVA: HEPATO-PANCREATICA,,
166,1,CALI,C. EXT. ALERGIA PEDIATRICA,,
276,1,GREU,C.REUMATOLOGIA - C.E.GERONA,,
451,1,TGIN,Obsoleto - NO USAR,,
738,1,SREU,REUMATOLOGIA,,
125,1,SEFZ,C.I.SEG-CONS/EXPL:Oftalmologia,,
128,1,14,Reumatolog¡a,,
366,1,EEBZ,C.E.PORT-CONS/EXPL: Rehabilitación,,
885,1,PCIR,CIR.GENERAL CATARROJA,,
522,1,LCAR,CARDIOLOGIA (C.E.LLIRIA),,
313,1,07,Anestesia / Reanimaci¢n.,,
122,1,AH,Unidad HTA,,
816,1,1301,REHABILITACION,,
508,1,SERZ,C.I.SEG-CONS/EXPL:Otorrinolaringologia,,
307,1,HDDCAR,REHABILITACION CARDIACA MISLATA,,
153,1,CMDH,HEPATOLOGIA,,
806,1,ENF,ENFERMERIA A. PRIMARIA,,
229,1,9,Cirugía Plástica,,
844,1,JCNJ,C.ESP.CIRUGIA NO JER.,,
758,1,CRXD,RADIODIAGNOSTICO,,
323,1,10038,MEDICINA INTERNA,,
278,1,COT1,C. TRAUMA,,
150,1,TMDI,Obsoleto - NO USAR,,
16,1,GCIR,C.CIRUGIA - C.E.GERONA,,
461,1,169,UNIDAD DE MENOPAUSIA,,
42,1,AGIN,GINECOLOGIA (H.ARNAU),,
205,1,AY,Medicina Nuclear Cl¡nica,,
484,1,UTT,UNIDAD TOXICOMANIAS,,
655,1,CUCE,CONSULTAS UNIDAD CORTA ESTANCI,,
381,1,CREA,ANESTESIA ADULTOS,,
419,1,1434,OTORRINOLARINGOLOGIA,,
662,1,AJ,Unidad del Sue¿o,,
631,1,TRI,TRAUMATOLOGIA INFANTIL,,
369,1,216,HOSPITAL DE DÍA CASTELLÓN - CE,,
375,1,HCPL,CIRUGIA PLASTIC,,
811,1,TSM,TRABAJADOR SOCIAL SALUD MENTAL,,
498,1,MINA,MEDICINA INTERNA: GENERAL,,
250,1,08,Cardiolog¡a,,
456,1,HHEM,HEMATOLOGIA,,
571,1,41,MEDICINA INTERNA,,
778,1,EGIN,GINECOLOGIA (C.ESP),,
834,1,HEEZ,HOSPITAL-CONSULTA: Farmacia Pac.Ext,,
533,1,AALE,ALERGIA (H.ARNAU),,
185,1,COFI,OFTALMOLOGIA INFANTIL,,
142,1,CFIS,FISIOTERAPIA,,
808,1,MAP,MATRONA A. PRIMARIA,,
337,1,EEUZ,C.E.PORT-CONS/EXPL: Urología,,
794,1,INS,ENFERMERO INSPECTOR,,
639,1,RXD,RADIODIAGNOSTICO,,
87,1,CCAA,CIRUGIA CARDIACA: GENERAL,,
829,1,HCEN,HOSPITAL CENTRALES: Explorac. Digestivo,,
504,1,HEFZ,HOSPITAL-CONSULTA: Oftalmología,,
162,1,FARM,FARMACIA,,
721,1,907,PEDIATRIA,,
769,1,CNFL,CEX. NEUROFISIOLOGIA,,
163,1,EGH,ENFERMERA GESTORA DE CASOS HOS,,
79,1,GURO,C.UROLOGIA - C.E.GERONA,,
112,1,CGIA,CIRUGIA PEDIATRICA: GENERAL,,
409,1,10111,MEDICINA INTERNA,,
717,1,BNEM,NEUMOLOGIA (C.E.BURJASSOT),,
550,1,UHT,UNIDAD TERAPEUTICA HIPERBARICA,,
559,1,24,Neurocirug¡a,,
402,1,CCPI,CIR PLASTICA INFANTIL,,
376,1,EORL,ORL (H.LLIRIA),,
895,1,ROD,UNIDAD RODILLA,,
644,1,HEMR,HOSPITAL-CONSULTA: Neurología,,
364,1,HEGZ,HOSPITAL-CONSULTA: Ginecología,,
481,1,AL,Unidad de Coloproctolog¡a,,
679,1,CTMG,CEX COMITE TUMORES MAMA-GINE.,,
338,1,CONI,CEX. ONCOLOGIA INFANTIL,,
355,1,SCAR,CARDIOLOGIA,,
613,1,KRHB,Obsoleto - NO USAR,,
634,1,ANEM,NEUMOLOGIA ALDAIA,,
565,1,EEME,C.E.PORT-CONS/EXPL: Endocrinología,,
666,1,CTSM,TREBALL SOCIAL (SALUT MENTAL),,
26,1,34,Ginecolog¡a,,
604,1,UDOC,UNIDAD DE DOLOR CEX,,
881,1,NMI,NEUMOLOGIA INFANTIL,,
318,1,38,TOCO-GINECOLOGIA,,
89,1,949,MEDICINA INTERNA,,
502,1,HNER,NEUROLOGIA,,
398,1,CJUD,CONSULTAS MODULO SEGURIDAD,,
113,1,89,Cirugía Vascular,,
683,1,SNEM,NEUMOLOGIA,,
448,1,10092,MEDICINA INTERNA,,
151,1,10032,OFTALMOLOGIA,,
429,1,EPED,ENFERMERIA PEDIATRICA,,
214,1,OGIN,Obsoleto - NO USAR,,
880,1,MNPS,NEUROPSIQUIATRIA MONTEOLIVETE,,
283,1,ERHB,REHABILITACION (H.LLIRIA),,
494,1,OFTM,OFTALMOLOGÍA MISLATA,,
134,1,LNER,NEUROLOGIA (C.E.LLIRIA),,
326,1,FON,FONIATRIA-LOGOPEDIA,,
312,1,EHEM,HEMATOLOGIA (H.LLIRIA),,
131,1,6,Cirugía General y Digestiva,,
621,1,SUMA,UNIDAD DE MANO,,
425,1,45,Urolog¡a,,
262,1,MDIH,MEDICINA DIGESTIVA: HEPATOLOGIA,,
888,1,PGIN,GINECOLOGIA CATARROJA,,
889,1,PIN,INFECCIOSOS(PEDIATRIA),,
315,1,251,MEDICINA HIPERBARICA - CE,,
