cod_centro,Frequency.1,codes,spanish description,english description,comment
133,1,2342,CONSULTORIO AUXILIAR DE BENIATJAR,,
288,1,135,CONSULTORIO AUXILIAR DE PINA DE MONTALGRAO,,
725,1,2293,CONSULTORIO DE VERANO DE SANTA POLA DEL ESTE,,
215,1,406,CONSULTORIO AUXILIAR DE ATZENETA D'ALBAIDA,,
298,1,492,CENTRO SANITARIO INTEGRADO EL CAMPELLO,,
792,1,3124,CENTRO DE SALUD DE ROJALES II - LO MARABÚ,,
317,1,739,CONSULTORIO AUXILIAR DE ALBORAYA LA PATACONA,,
173,1,525,CENTRO DE SALUD DE ALICANTE CIUDAD JARDIN,,
304,1,2543,CENTRO DE SALUD DE VALENCIA LUIS OLIAG-MONTEOLIVETE,,
741,1,369,CONSULTORIO AUXILIAR DE REAL DE GANDIA,,
39,1,579,CENTRO DE SALUD DE ALGEMESI,,
302,1,145,CENTRO DE SALUD DE ALMASSERA,,
50,1,458,CENTRO DE SALUD DE BENILLOBA,,
284,1,131,CONSULTORIO AUXILIAR DE BARRACAS,,
170,1,143,CONSULTORIO AUXILIAR DE SOT DE FERRER,,
331,1,732,CONSULTORIO AUXILIAR DE SEMPERE,,
486,1,600,CONSULTORIO AUXILIAR DE BENIDORM RINCON DE LOIX,,
736,1,263,CENTRO DE SALUD DE REQUENA,,
462,1,182,CONSULTORIO AUXILIAR DE NAQUERA,,
602,1,762,CONSULTORIO AUXILIAR DE SAGRA,,
845,1,613,CONSULTORIO AUXILIAR DE BURRIANA PUERTO,,
850,1,566,CONSULTORIO AUXILIAR DE ORIHUELA MOLINS,,
182,1,337,CONSULTORIO AUXILIAR DE BENIMODO,,
374,1,539,CONSULTORIO AUXILIAR DE ELX / ELCHE TORRELLANO,,
138,1,175,CONSULTORIO AUXILIAR DE CASAS BAJAS,,
422,1,463,CONSULTORIO AUXILIAR DE QUATRETONDETA,,
230,1,148,CENTRO DE SALUD DE FOIOS,,
749,1,476,CENTRO DE SALUD DE CALLOSA D'EN SARRIA,,
314,1,191,CONSULTORIO AUXILIAR DE SAN ANTONIO DE BENAGEBER,,
116,1,112,CONSULTORIO AUXILIAR DE ALGIMIA DE ALFARA,,
294,1,2981,CONSULTORIO AUXILIAR DE REQUENA / LA PORTERA,,
636,1,635,CONSULTORIO AUXILIAR DE ALGORFA,,
368,1,218,CONSULTORIO AUXILIAR DE ANDILLA,,
848,1,18,CONSULTORIO AUXILIAR DE LA SALZADELLA,,
38,1,2812,CONSULTORIO AUXILIAR DE VILLAMALUR,,
367,1,272,CENTRO DE SALUD DE ALDAIA,,
632,1,1300,CONSULTORIO AUXILIAR DE HERBES,,
838,1,1346,CONSULTORIO AUXILIAR DE TORRELLA,,
576,1,319,CONSULTORIO AUXILIAR DE BENIMUSLEM,,
378,1,504,CENTRO DE SALUD DE BIAR,,
90,1,715,CONSULTORIO AUXILIAR DE BOLULLA,,
20,1,90,CONSULTORIO AUXILIAR DE VILAFAMES,,
477,1,2312,CONSULTORIO AUXILIAR DE SAGUNT / SAGUNTO RAVAL,,
217,1,1501,HOSPITAL UNIVERSITARIO DE LA PLANA,,
694,1,333,CENTRO DE SALUD DE ALMUSAFES,,
242,1,705,CONSULTORIO AUXILIAR DE ELDA AVDA. SAX,,
712,1,407,CONSULTORIO AUXILIAR DE AGULLENT,,
32,1,12,CONSULTORIO AUXILIAR DE ZORITA DEL MAESTRAZGO,,
53,1,434,CONSULTORIO AUXILIAR DE VALLADA,,
747,1,724,CONSULTORIO AUXILIAR DE PALMERA,,
863,1,276,CONSULTORIO AUXILIAR DE MONTROY,,
669,1,2352,CENTRO DE SALUD ALZIRA II SANTS PATRONS,,
445,1,2810,CONSULTORIO AUXILIAR DE FUENTES DE AYODAR,,
452,1,37,CENTRO DE SALUD DE L'ALCORA,,
86,1,712,CONSULTORIO AUXILIAR DE BENIFATO,,
472,1,351,CONSULTORIO AUXILIAR DE ALMOINES,,
614,1,660,CONSULTORIO AUXILIAR DE ALCALA DE XIVERT ALCOSSEBRE,,
342,1,339,CENTRO DE SALUD DE CATADAU,,
471,1,682,CONSULTORIO AUXILIAR DE SEGORBE PEÑALBA,,
427,1,318,CONSULTORIO AUXILIAR DE ANTELLA,,
57,1,472,CENTRO DE SALUD DE ONIL,,
407,1,185,CENTRO DE SALUD DE BURJASSOT 1,,
524,1,496,CONSULTORIO AUXILIAR DE LA TORRE DE LES MAÇANES / TORREMANZANAS,,
538,1,274,CONSULTORIO AUXILIAR DE DOS AGUAS,,
625,1,2975,CONSULTORIO AUXILIAR DE VENTA DEL MORO / LOS MARCOS,,
102,1,1215,HOSPITAL GENERAL UNIVERSITARIO DE ELDA - VIRGEN DE LA SALUD,,
103,1,124,CENTRO DE SALUD DE SEGORBE,,
488,1,2687,CONSULTORIO AUXILIAR DE OLOCAU DEL REY,,
505,1,2644,CENTRO DE SALUD VIRT'UAL,,
60,1,473,CENTRO DE SALUD DE L'ALFAS DEL PI,,
706,1,2246,CONSULTORIO AUXILIAR DE LA VALL D'ALCALA  ,,
770,1,48,CONSULTORIO AUXILIAR DE SIERRA ENGARCERAN,,
232,1,3091,CENTRO DE SALUD VALENCIA JUAN XXIII,,
265,1,551,CONSULTORIO AUXILIAR DE RAFAL,,
637,1,51,CENTRO DE SALUD DE BURRIANA,,
324,1,667,CONSULTORIO AUXILIAR DE CASTELLON DE LA PLANA SAN LORENZO,,
467,1,2979,CONSULTORIO AUXILIAR DE REQUENA / CASAS DEL RIO,,
554,1,109,CONSULTORIO AUXILIAR DE ALBALAT DELS TARONGERS,,
774,1,289,CENTRO DE SALUD DE VALENCIA PINTOR STOLZ,,
65,1,638,CONSULTORIO AUXILIAR DE REQUENA CASAS DE EUFEMIA,,
212,1,484,CONSULTORIO AUXILIAR DE RELLEU,,
22,1,624,CENTRO DE SALUD DE ALACANT / ALICANTE CABO HUERTAS,,
843,1,911,HOSPITAL LA FE. HOSPITAL GENERAL,,
674,1,327,CENTRO DE SALUD DE L'ALCUDIA,,
4,1,7,CENTRO DE SALUD DE PEÑISCOLA,,
127,1,523,CENTRO DE SALUD DE ALICANTE FLORIDA,,
651,1,442,CONSULTORIO AUXILIAR DE AIELO DE MALFERIT,,
36,1,285,CENTRO DE SALUD DE XIRIVELLA,,
371,1,700,CONSULTORIO AUXILIAR DE UTIEL LA TORRE,,
574,1,19,CONSULTORIO AUXILIAR DE XERT / CHERT,,
140,1,659,CONSULTORIO AUXILIAR DE ALTEA ISM,,
405,1,420,CONSULTORIO AUXILIAR DE COTES,,
433,1,3053,CENTRO DE ESPECIALIDADES DE MISLATA,,
177,1,378,CENTRO DE SALUD DE VILLALONGA,,
501,1,482,CONSULTORIO AUXILIAR DE FINESTRAT,,
667,1,2239,CONSULTORIO AUXILIAR DE TOLLOS,,
109,1,1234,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,,
118,1,648,CONSULTORIO AUXILIAR DE BENEIXIDA,,
584,1,767,CONSULTORIO AUXILIAR DE VALL DE GALLINERA ALPATRO,,
455,1,150,CENTRO DE SALUD DE MASSAMAGRELL,,
197,1,229,CONSULTORIO AUXILIAR DE YATOVA,,
757,1,223,CENTRO DE SALUD DE PEDRALBA,,
63,1,3048,CENTRO DE SALUD DE VALENCIA NOU MOLES,,
583,1,544,CENTRO DE SALUD DE ALMORADI,,
585,1,395,CONSULTORIO AUXILIAR DE LA VALL DE LAGUAR FLEIX,,
858,1,151,CONSULTORIO AUXILIAR DE MASSAMAGRELL BARRIO DE LA MAGDALENA,,
194,1,367,CONSULTORIO AUXILIAR DE GANDIA BENIOPA,,
773,1,644,CONSULTORIO AUXILIAR DE LLIBER,,
846,1,252,CONSULTORIO AUXILIAR DE FUENTERROBLES,,
361,1,536,CONSULTORIO AUXILIAR DE ELX / ELCHE MARINA,,
798,1,2548,CENTRO DE SALUD DE VALENCIA CAMPANAR,,
77,1,169,CENTRO DE SALUD DE VALENCIA TRAFALGAR,,
582,1,649,CONSULTORIO AUXILIAR DE SELLENT,,
345,1,425,CENTRO DE SALUD DE ENGUERA,,
52,1,200,CONSULTORIO AUXILIAR DE MARINES,,
750,1,647,CONSULTORIO AUXILIAR DE BENICOLET,,
775,1,2318,CONSULTORIO AUXILIAR DE ALFAFARA,,
569,1,401,CONSULTORIO AUXILIAR DE TEULADA BENITATXELL,,
413,1,41,CENTRO DE SALUD DE CASTELLON DE LA PLANA BARRANQUET,,
399,1,567,CENTRO DE SALUD DE ORIHUELA ALVAREZ DE LA RIVA,,
530,1,2228,CONSULTORIO AUXILIAR DE PILAR DE LA HORADADA MIL PALMERAS,,
261,1,134,CONSULTORIO AUXILIAR DE EL TORO,,
527,1,706,CENTRO DE SALUD DE PETRER 2,,
468,1,189,CONSULTORIO AUXILIAR DE TUEJAR,,
596,1,655,CONSULTORIO AUXILIAR DE L'ALFAS DEL PI L'ALBIR,,
746,1,107,CONSULTORIO AUXILIAR DE LA LLOSA,,
51,1,637,CONSULTORIO AUXILIAR DE ALTEA,,
548,1,96,CENTRO DE SALUD DE VILAFRANCA DEL CID / VILLAFRANCA DEL CID,,
650,1,355,CONSULTORIO AUXILIAR DE LA FONT D'EN CARROS,,
870,1,3028,CONSULTORIO AUXILIAR DE ALMENARA,,
698,1,354,CONSULTORIO AUXILIAR DE DAIMUS,,
306,1,773,CONSULTORIO AUXILIAR DE MANISES ELS XIPRERETS,,
254,1,2688,CONSULTORIO AUXILIAR DE TODOLELLA,,
207,1,562,CONSULTORIO AUXILIAR DE ORIHUELA LA CAMPANETA,,
174,1,147,CONSULTORIO AUXILIAR DE ALBALAT DELS SORELLS,,
219,1,2983,CONSULTORIO AUXILIAR DE REQUENA LOS DUQUES,,
195,1,16,CONSULTORIO AUXILIAR DE CATI,,
256,1,310,CENTRO DE SALUD DE VALENCIA FUENTE DE SAN LUIS,,
93,1,352,CONSULTORIO AUXILIAR DE L'ALQUERIA DE LA COMTESSA,,
319,1,520,CONSULTORIO DE ALICANTE GENERAL ESPARTERO,,
144,1,282,CENTRO DE SALUD DE TORRENT,,
788,1,115,CONSULTORIO AUXILIAR DE BENIFAIRO DE LES VALLS,,
279,1,198,CONSULTORIO AUXILIAR DE DOMEÑO,,
408,1,74,CENTRO DE SALUD DE NULES,,
764,1,330,CONSULTORIO AUXILIAR DE ALBALAT DE LA RIBERA,,
618,1,620,CONSULTORIO AUXILIAR DE DENIA LA XARA,,
141,1,121,CENTRO DE SALUD DE PUIG,,
635,1,1567,CONSULTORIO AUXILIAR DE GANDIA RAVAL,,
257,1,2019,CENTRO DE SALUD DE VALENCIA GUILLEM DE CASTRO,,
420,1,266,CONSULTORIO AUXILIAR DE REQUENA LOS ISIDROS,,
822,1,216,CENTRO DE SALUD DE VILAMARXANT,,
851,1,65,CENTRO DE SALUD DE LLUCENA/ LUCENA DEL CID,,
24,1,2196,CONSULTORIO AUXILIAR DE TORRE LLORIS (XATIVA),,
192,1,40,CENTRO DE SALUD DE ALMASSORA / ALMAZORA,,
190,1,235,CONSULTORIO AUXILIAR DE GODELLETA,,
114,1,257,CONSULTORIO AUXILIAR DE JALANCE,,
526,1,611,CONSULTORIO AUXILIAR DE LOS MONTESINOS,,
590,1,1200,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,,
594,1,552,CONSULTORIO AUXILIAR DE REDOVAN,,
236,1,490,CENTRO DE SALUD DE ALACANT / ALICANTE JUAN XXIII,,
100,1,422,CENTRO DE SALUD DE CHELLA,,
703,1,617,CENTRO DE SALUD DE BENIDORM LES FOIETES,,
54,1,280,CENTRO DE SALUD DE PICANYA,,
33,1,770,CONSULTORIO AUXILIAR DE VALL DE GALLINERA BENISSILI,,
760,1,231,CENTRO DE SALUD DE CHIVA,,
387,1,645,CONSULTORIO AUXILIAR DE SENIJA,,
293,1,436,CONSULTORIO AUXILIAR DE BICORP,,
561,1,672,CONSULTORIO AUXILIAR DE PATERNA TERRAMELAR,,
509,1,956,HOSPITAL GENERAL DE ONTINYENT,,
115,1,510,CENTRO SANITARIO INTEGRADO DE NOVELDA,,
610,1,71,CENTRO DE SALUD DE MONTANEJOS,,
275,1,526,CONSULTORIO AUXILIAR DE ALICANTE VILLAFRANQUEZA,,
447,1,76,CONSULTORIO AUXILIAR DE MONCOFA,,
157,1,630,CONSULTORIO AUXILIAR DE ALICANTE SAN GABRIEL,,
691,1,693,CENTRO DE SALUD DE TORREVIEJA LA MATA,,
709,1,195,CONSULTORIO AUXILIAR DE ALCUBLAS,,
251,1,696,CENTRO DE SALUD DE LA VALL D'UIXO 2,,
654,1,2347,CONSULTORIO AUXILIAR DE ALFAUIR,,
716,1,326,CONSULTORIO AUXILIAR DE LLAURI,,
412,1,2238,CONSULTORIO AUXILIAR DE MILLENA,,
130,1,2526,HOSPITAL UNIVERSITARIO DE TORREVIEJA,,
241,1,370,CENTRO DE SALUD DE GANDIA GRAU,,
507,1,554,CONSULTORIO AUXILIAR DE CATRAL,,
206,1,193,CONSULTORIO AUXILIAR DE ROCAFORT,,
567,1,227,CONSULTORIO AUXILIAR DE ALBORACHE,,
9,1,689,CONSULTORIO AUXILIAR DE VALENCIA BORBOTO,,
658,1,90400,HOSPITAL UNIVERSITARI I POLITECNIC LA FE,,
647,1,26,CONSULTORIO AUXILIAR DE ROSSELL,,
191,1,363,CONSULTORIO AUXILIAR DE SALEM,,
282,1,506,CONSULTORIO AUXILIAR DE CAÑADA,,
291,1,508,CENTRO DE SALUD DE ELDA ACACIAS,,
593,1,72,CONSULTORIO AUXILIAR DE CIRAT,,
786,1,302,CENTRO DE SALUD DE SILLA,,
454,1,538,CENTRO DE SALUD DE ELX/ELCHE SAN FERMIN,,
643,1,176,CONSULTORIO AUXILIAR DE CASTIELFABIB,,
14,1,14,CONSULTORIO AUXILIAR DE VALLIBONA,,
601,1,60,CENTRO DE SALUD DE CASTELLON DE LA PLANA 9 D'OCTUBRE,,
223,1,217,CENTRO DE SALUD DE VILLAR DEL ARZOBISPO,,
740,1,627,CONSULTORIO AUXILIAR DE ALICANTE AAIUN,,
793,1,570,CONSULTORIO AUXILIAR DE FORMENTERA DEL SEGURA,,
15,1,685,CONSULTORIO AUXILIAR DE BENAFER,,
789,1,1249,CENTRO SANITARIO INTEGRADO VILLENA,,
336,1,983,HOSPITAL DOCTOR MOLINER,,
69,1,2741,CONSULTORIO AUXILIAR DE ALCOCER DE PLANES,,
591,1,528,CENTRO DE SALUD DE MONFORTE DEL CID,,
543,1,93,CENTRO DE SALUD DE LA VALL D'UIXO 1,,
410,1,560,CONSULTORIO AUXILIAR DE ORIHUELA LA MURADA,,
439,1,334,CONSULTORIO DE SOLLANA,,
802,1,740,CONSULTORIO AUXILIAR DE ALBORAYA PORT SAPLAYA,,
840,1,226,CENTRO DE SALUD DE BUÑOL,,
247,1,445,CENTRO DE SALUD DE VILLANUEVA DE CASTELLON,,
295,1,2813,CONSULTORIO AUXILIAR DE PATERNA CAMPAMENTO,,
857,1,2243,CONSULTORIO AUXILIAR DE FACHECA,,
841,1,270,CONSULTORIO AUXILIAR DE SINARCAS,,
1,1,137,CONSULTORIO AUXILIAR DE TORAS,,
104,1,441,CENTRO DE SALUD DE ONTINYENT SAN RAFAEL,,
175,1,419,CONSULTORIO AUXILIAR DE ALCANTERA DE XUQUER,,
743,1,977,HOSPITAL CLINICO UNIVERSITARIO DE VALENCIA,,
529,1,284,CONSULTORIO AUXILIAR DE TORRENT,,
152,1,777,CONSULTORIO AUXILIAR DE GUARDAMAR DEL SEGURA EL CAMPO,,
382,1,571,CENTRO SANITARIO INTEGRADO DE TORREVIEJA LA LOMA,,
403,1,409,CONSULTORIO AUXILIAR DE EL PALOMAR,,
449,1,3036,CONSULTORIO AUXILIAR DE ESPADILLA,,
73,1,2337,CONSULTORIO AUXILIAR DE TERRATEIG,,
718,1,242,CENTRO DE SALUD DE VALENCIA SALVADOR ALLENDE,,
713,1,99999,CENTRO NO ASIGNADO,,
245,1,268,CONSULTORIO AUXILIAR DE BENAGEBER,,
426,1,292,CENTRO DE SALUD DE ALBAL,,
296,1,680,CONSULTORIO AUXILIAR DE ALMEDIJAR,,
475,1,99,CENTRO DE SALUD DE VILA-REAL / VILLARREAL CARINYENA,,
99,1,631,CONSULTORIO AUXILIAR DE ALICANTE PLAYA DE SANT JOAN D'ALACANT,,
628,1,632,CONSULTORIO AUXILIAR DE SAN ISIDRO,,
564,1,2779,CENTRO DE SALUD DE CAMPOAMOR,,
859,1,1536,CONSORCIO HOSPITALARIO PROVINCIAL DE CASTELLON,,
416,1,500,CENTRO DE SALUD DE SANT JOAN D'ALACANT,,
663,1,63,CENTRO DE SALUD DE CASTELLON DE LA PLANA CASALDUCH,,
678,1,230,CENTRO DE SALUD DE CHESTE,,
179,1,2978,CONSULTORIO AUXILIAR DE REQUENA / BARRIO ARROYO,,
779,1,288,CENTRO DE SALUD VALENCIA GIL Y MORTE,,
41,1,664,CONSULTORIO AUXILIAR DE CABANES LA RIBERA,,
44,1,429,CONSULTORIO AUXILIAR DE L'ENOVA,,
383,1,296,CENTRO DE SALUD DE ALFAFAR,,
457,1,293,CONSULTORIO AUXILIAR DE BENIPARRELL,,
78,1,201,CONSULTORIO AUXILIAR DE OLOCAU,,
607,1,521,CONSULTORIO DE ALICANTE POETA ZORRILLA,,
783,1,98,CENTRO DE SALUD DE VILA-REAL / VILLARREAL BOVILA,,
111,1,471,CONSULTORIO AUXILIAR DE PLANES,,
626,1,199,CONSULTORIO AUXILIAR DE GATOVA,,
72,1,517,CENTRO DE SALUD DE VILLENA 1,,
675,1,1203,HOSPITAL MARINA ALTA DE DENIA,,
147,1,535,CENTRO DE SALUD DE ELX / ELCHE ALTABIX,,
248,1,953,HOSPITAL UNIVERSITARIO DOCTOR PESET,,
739,1,433,CONSULTORIO AUXILIAR DE LA FONT DE LA FIGUERA,,
514,1,641,CONSULTORIO AUXILIAR DE UTIEL LAS CUEVAS,,
31,1,2425,CENTRO DE SALUD DE ALICANTE PARQUE LO MORANT,,
597,1,2930,CENTRO DE SALUD DE PUERTO DE SAGUNTO II,,
776,1,545,CONSULTORIO AUXILIAR DE DAYA NUEVA,,
390,1,2974,CONSULTORIO AUXILIAR DE VENTA DEL MORO / LAS MONJAS,,
535,1,775,CENTRO DE SALUD DE ALBORAYA,,
682,1,766,CONSULTORIO AUXILIAR DE ALCALALI LLOSA DE CAMATXO,,
209,1,2213,CONSULTORIO AUXILIAR DE HONDON DE LAS NIEVES LA CANALOSA,,
333,1,2233,CONSULTORIO AUXILIAR DE FORMENTERA DEL SEGURA LOS PALACIOS,,
360,1,639,CONSULTORIO AUXILIAR DE BENAFIGOS,,
483,1,984,CONSORCIO HOSPITAL GENERAL UNIVERSITARIO DE VALENCIA,,
200,1,485,CONSULTORIO AUXILIAR DE SELLA,,
292,1,136,CONSULTORIO AUXILIAR DE TERESA,,
680,1,28,CONSULTORIO AUXILIAR DE SAN RAFAEL DEL RIO,,
188,1,2200,CONSULTORIO AUXILIAR DE CARRICOLA,,
619,1,480,CONSULTORIO AUXILIAR DE POLOP,,
270,1,718,CONSULTORIO AUXILIAR DE SAN FULGENCIO EL OASIS,,
325,1,393,CONSULTORIO AUXILIAR DE PARCENT,,
469,1,156,CENTRO DE SALUD DE MUSEROS,,
697,1,222,CONSULTORIO AUXILIAR DE SOT DE CHERA,,
154,1,443,CONSULTORIO AUXILIAR DE FONTANAR DELS AFORINS,,
595,1,54,CENTRO DE SALUD DE CASTELLON DE LA PLANA SAN AGUSTIN,,
95,1,396,CENTRO DE SALUD DE PEDREGUER,,
201,1,86,CENTRO DE SALUD DE VALL D'ALBA,,
148,1,2235,CONSULTORIO AUXILIAR DE BENILLUP,,
869,1,0,CENTRO SANITARIO INSPECCION S.S. AREA 12 SECCION 12-01,,
726,1,394,CONSULTORIO AUXILIAR DE SANET I NEGRALS,,
385,1,466,CENTRO DE SALUD DE IBI,,
117,1,255,CENTRO DE SALUD DE COFRENTES,,
605,1,686,CONSULTORIO AUXILIAR DE FUENTE LA REINA,,
394,1,329,CONSULTORIO AUXILIAR DE ALGEMESI,,
67,1,125,CONSULTORIO AUXILIAR DE ALGIMIA DE ALMONACID,,
320,1,29,CENTRO DE SALUD DE VINAROS,,
135,1,728,CONSULTORIO AUXILIAR DE CREVILLENT SAN FELIPE NERI,,
715,1,669,CONSULTORIO AUXILIAR DE VILA-REAL / VILLARREAL TORREHERMOSA,,
328,1,317,CENTRO DE SALUD DE ALBERIC,,
580,1,291,CONSULTORIO AUXILIAR DE XIRIVELLA BARRIO DE LA LUZ,,
872,1,720,BURJASSOT FICTICIO,,
464,1,30,CENTRO DE SALUD DE ATZENETA DEL MAESTRAT,,
297,1,171,CONSULTORIO DE VALENCIA VICENTE BRULL,,
259,1,549,CENTRO DE SALUD DE CALLOSA DE SEGURA,,
521,1,187,CONSULTORIO AUXILIAR DE CALLES,,
379,1,297,CONSULTORIO DE ALFAFAR PARQUE ALCOSA,,
763,1,704,CENTRO DE SALUD ELDA MARINA ESPAÑOLA,,
732,1,719,CONSULTORIO AUXILIAR DE CULLERA MARENY DE SANT LLORENÇ,,
518,1,382,CENTRO DE SALUD DE BENISSA,,
84,1,1340,CONSULTORIO AUXILIAR DE ESTUBENY,,
27,1,557,CENTRO DE SALUD DE ORIHUELA PZ. DE LA SALUD,,
37,1,207,CONSULTORIO AUXILIAR DE PATERNA LA CAÑADA,,
817,1,338,CENTRO DE SALUD DE CARLET,,
45,1,361,CONSULTORIO AUXILIAR DE MONTICHELVO,,
821,1,414,CONSULTORIO AUXILIAR DE LA POBLA DEL DUC,,
196,1,152,CONSULTORIO AUXILIAR DE LA POBLA DE FARNALS PLAYA,,
123,1,540,CONSULTORIO AUXILIAR DE ELX / ELCHE PERLETA MAITINO,,
723,1,101,CENTRO DE SALUD DE LES COVES DE VINROMA,,
124,1,215,CONSULTORIO AUXILIAR DE LA YESA,,
240,1,470,CONSULTORIO AUXILIAR DE L'ORXA / LORCHA,,
96,1,21,CENTRO DE SALUD DE TRAIGUERA,,
35,1,88,CONSULTORIO AUXILIAR DE LA POBLA TORNESA,,
785,1,149,CONSULTORIO AUXILIAR DE VINALESA,,
208,1,343,CONSULTORIO AUXILIAR DE BENICULL DE XUQUER,,
827,1,178,CONSULTORIO AUXILIAR DE VALLANCA,,
243,1,208,CONSULTORIO AUXILIAR DE PATERNA LA COMA,,
227,1,181,CENTRO DE SALUD DE BETERA,,
46,1,2424,CONSULTORIO AUXILIAR DE VALENCIA LA TORRE,,
225,1,173,CENTRO DE SALUD DE VALENCIA NAZARET,,
784,1,262,CONSULTORIO AUXILIAR DE REQUENA LOS PEDRONES,,
511,1,324,CONSULTORIO AUXILIAR DE LA BARRACA D'AIGÜES VIVES,,
701,1,643,CONSULTORIO AUXILIAR DE ALCALALI,,
424,1,651,CONSULTORIO AUXILIAR DE LLOC NOU D'EN FENOLLET,,
787,1,202,CENTRO DE SALUD DE CASTELLON DE LA PLANA GRAN VIA,,
168,1,2973,CONSULTORIO AUXILIAR DE VENTA DEL MORO / JARAGUAS,,
263,1,108,CENTRO DE SALUD DE ESTIVELLA,,
228,1,2731,CENTRO DE SALUD DE CULLERA RAVAL,,
714,1,212,CENTRO DE SALUD DE TITAGUAS,,
66,1,461,CONSULTORIO AUXILIAR DE GORGA,,
149,1,287,CONSULTORIO DE PERE BONFILL (VALENCIA),,
396,1,38,CONSULTORIO AUXILIAR DE SANT JOAN DE MORO,,
23,1,192,CENTRO DE SALUD DE GODELLA,,
348,1,3042,CONSULTORIO AUXILIAR DE JUAN LLORENS,,
181,1,376,CONSULTORIO AUXILIAR DE LLOCNOU DE SANT JERONI,,
372,1,94,CONSULTORIO AUXILIAR DE ARES DEL MAESTRE,,
40,1,711,CONSULTORIO AUXILIAR DE CONFRIDES ABDET,,
224,1,123,CONSULTORIO AUXILIAR DE PETRES,,
62,1,309,CONSULTORIO AUXILIAR DE VALENCIA CARRETERA DE ARTES,,
686,1,197,CONSULTORIO AUXILIAR DE CASINOS,,
460,1,233,CENTRO DE SALUD DE MISLATA,,
620,1,2086,CONSULTORIO AUXILIAR DE PUEBLA DE SAN MIGUEL,,
577,1,2498,CONSULTORIO AUXILIAR DE MISLATA,,
873,1,507,CAP DE ELDA 1 PADRE MANJON,,
286,1,405,CENTRO DE SALUD DE ALBAIDA,,
720,1,114,CENTRO DE SALUD DE FAURA,,
406,1,413,CENTRO DE SALUD DE BENIGANIM,,
812,1,522,CENTRO DE SALUD DE ALICANTE BABEL,,
305,1,251,CENTRO DE SALUD DE CAUDETE DE LAS FUENTES,,
321,1,658,CENTRO DE SALUD DE ORIHUELA COSTA,,
705,1,3110,CENTRO DE SALUD ILLES COLUMBRETES,,
588,1,81,CONSULTORIO AUXILIAR DE TOGA,,
97,1,5,CENTRO SANITARIO INTEGRADO BENICARLO,,
352,1,3051,CENTRO DE SALUD PLA-VINALOPO,,
359,1,912,HOSPITAL LA FE HOSPITAL MATERNAL,,
646,1,346,CONSULTORIO AUXILIAR DE POLINYA DE XUQUER,,
202,1,2020,CONSULTORIO AUXILIAR DE CANALS AIACOR,,
58,1,127,CONSULTORIO AUXILIAR DE GELDO,,
120,1,1347,CONSULTORIO AUXILIAR DE VALLES,,
268,1,541,CONSULTORIO AUXILIAR DE ELX / ELCHE VALVERDE,,
549,1,734,CONSULTORIO AUXILIAR DE CULLERA EL FARO,,
615,1,690,CONSULTORIO AUXILIAR DE VALENCIA POBLE NOU,,
668,1,141,CONSULTORIO AUXILIAR DE AZUEBAR,,
815,1,650,CONSULTORIO AUXILIAR DE SANT JOANET,,
450,1,95,CONSULTORIO AUXILIAR DE CASTELLFORT,,
485,1,91,CONSULTORIO AUXILIAR DE ALFONDEGUILLA,,
490,1,3,CONSULTORIO AUXILIAR DE SANTA MAGDALENA DE PULPIS,,
266,1,656,CENTRO DE SALUD DE BENIDORM LA CALA,,
391,1,2547,CONSULTORIO AUXILIAR DE MIRAMAR PLAYA,,
704,1,32,CONSULTORIO AUXILIAR DE VISTABELLA DEL MAESTRAZGO,,
805,1,623,CONSULTORIO AUXILIAR DE CALP CASA DEL MAR,,
269,1,961,HOSPITAL UNIVERSITARIO DE LA RIBERA,,
309,1,139,CONSULTORIO AUXILIAR DE JERICA,,
216,1,733,CONSULTORIO AUXILIAR DE GUADASEQUIES,,
652,1,431,CENTRO DE SALUD DE LA POBLA LLARGA,,
756,1,306,CONSULTORIO DE VALENCIA VICENTE CLAVEL,,
653,1,533,CAP DE ANTON ROMAN (ELX),,
322,1,42,CENTRO DE SALUD DE ARTANA,,
274,1,1339,CONSULTORIO AUXILIAR DE BELLUS,,
831,1,387,CENTRO SANITARIO INTEGRADO XABIA / JAVEA,,
401,1,236,CENTRO DE SALUD DE TURIS,,
742,1,2321,CONSULTORIO AUXILIAR DE L'ALQUERIA D'ASNAR,,
301,1,531,CENTRO DE SALUD DE ELX / ELCHE EL TOSCAR,,
622,1,2345,CONSULTORIO AUXILIAR DE TAVERNES DE LA VALLDIGNA PLAYA,,
823,1,546,CENTRO DE SALUD DE BIGASTRO,,
351,1,49,CONSULTORIO AUXILIAR DE VILANOVA D'ALCOLEA,,
553,1,57,CENTRO DE SALUD DE CASTELLON DE LA PLANA PINTOR SOROLLA,,
83,1,68,CONSULTORIO AUXILIAR DE VILLAHERMOSA DEL RIO,,
466,1,780,CONSULTORIO AUXILIAR DE ALICANTE REBOLLEDO,,
166,1,616,CONSULTORIO AUXILIAR DE TORRENT MONTE-VEDAT,,
276,1,2134,CONSULTORIO AUXILIAR DE MONCADA SAN ISIDRO DE BENAGEBER,,
451,1,559,CONSULTORIO AUXILIAR DE ORIHUELA LA APARECIDA,,
738,1,683,CONSULTORIO AUXILIAR DE PAVIAS,,
