cod_prestacion,Frequency.1,codes,spanish description,english description,comment
1827,1,30030901520304002000,"RM VASCULAR , CEREBRO (WILLIS-TRONCO SUPRAORTICO), SIN CONTRASTE Y CON CONTRASTE",,
1287,1,300114030000N0000090,VELOCIDAD DE SEDIMENTACIÓN GLOBULAR,,
838,1,300113050000N0000714,AC ANTI FACTOR INTRÍNSECO,,
2154,1,CCD00183K,NORMETANEFRINA (EN ORINA),,
1869,1,30031001700606300000,"ANGIOGRAFIA, ARTERIA CAROTIDA INTERNA DERECHA/IZQUIERDA",,
1547,1,30030500721114900000,"DOPPLER ORGANOS/PARTES BLANDAS, HIGADO",,
2615,1,300113030100N0001169,ARGININA SANGRE,,
694,1,300113030404N0001716,IGE RECOMBINANTE NGLY M 5 BETA-CONGLYCININ (SOJA) F431,,
242,1,0121812350,RECEPTORES DE TSH CON EXTRACCION,,
1976,1,ANT000155,TRIMETROPRIM / SULFAMETOXAZOL,,
472,1,300113030100N0001621,COMPLEMENTO C2,,
1042,1,300113110000N0000900,PLOMO SANGRE,,
1397,1,30030100031725406000,"RX ESQUELETO PERIFERICO, ANTEBRAZO DERECHO/IZQUIERDO, AP Y LAT",,
538,1,300113030204N0000321,IGE ESPECIFICA  LECHUGA,,
488,1,300113030202N0000199,IGE ESPECIFICA  DERMATOPHAGOIDES PTERONYSSINUS,,
2149,1,CCD00178N,NEUTRÓFILOS (EN SANGRE),,
2237,1,CCD00285N,AC ANTI SSA/Ro52 (EN SANGRE),,
1867,1,30031001700606000000,"ANGIOGRAFIA, ARTERIA CAROTIDA EXTERNA BILATERAL",,
770,1,300113040000N0000642,ACIDO FOLICO (FOLATO),,
1744,1,30030901422232002000,"RM COLUMNA, RAQUIS COMPLETO, SIN CONTRASTE Y CON CONTRASTE",,
265,1,300113010000N0000007,ASPARTATO-AMINOTRANSFERASA (GOT),,
1746,1,30030901430000002000,"RM MEDULAR COMPLETA, SIN CONTRASTE Y CON CONTRASTE",,
1726,1,30030901410101702000,"RM CABEZA Y CUELLO, MAXILOFACIAL, SIN CONTRASTE Y CON CONTRASTE",,
22,1,0121202180,CULTIVO DE CHLAMYDIA,,
651,1,300113030215N0000578,IGE ESPECIFICA  SAUCE,,
127,1,0121209242,AC. ANTI-COXIELLA BURNETII FASE II IGG METODO IFI,,
371,1,300113020000K0001086,PROTEINAS EN 24 HORAS,,
1614,1,30030600861420902000,"TC OSTEOARTICULAR , PELVIS, SIN CONTRASTE Y CON CONTRASTE",,
140,1,0121209331,AC. ANTI-CLOSTRIDIUM TETANI IGG METODO ELISA,,
1829,1,30030901520707802000,"RM VASCULAR , TORAX, SIN CONTRASTE Y CON CONTRASTE",,
2701,1,300113121400X0001039,ESTUDIO CITOLÓGICO EN LIQUIDOS BIOLOGICOS S.E.,,
1960,1,ANT000115,LEVOFLOXACINO,,
667,1,300113030299N0001295,CRIBAJE ALERGIAS INHALATORIAS,,
2091,1,CCD00119N,GH 60 MIN (EN SANGRE),,
2607,1,300113030100N0000101,AMINOLEVULINATO DEHIDRATASA ALA,,
455,1,300113030100N0000153,PROTEÍNA C REACTIVA (PCR),,
955,1,300113070200K0000819,COCAINA ORINA,,
2471,1,300113030415N0001724,IGE RECOMBINANTE RBET V 2 PROFILIN (ABEDUL) T216,,
1550,1,30030500721115900000,"DOPPLER ORGANOS/PARTES BLANDAS, RIÑON DERECHO/IZQUIERDO",,
585,1,300113030207N0000414,IGE ESPECIFICA  CANGREJO DE MAR,,
1819,1,30030901501114901000,"RM ABDOMINAL, HIGADO, SIN CONTRASTE",,
2156,1,CCD00185I,PATOLOGÍA RECIENTE  (EN LIQUIDO SEMINAL),,
846,1,300113050000N0000722,AC IGG ANTI GANGLIÓSIDO GT1B,,
1959,1,ANT000110,ISONIAZIDA,,
2024,1,CCD000420,COMENTARIO MICROBIOLOGIA,,
2500,1,300113121400X0001530,DÍMERO D LÍQUIDOS BIOLÓGICOS S.E,,
1953,1,ANT000090,ESTREPTOMICINA,,
361,1,300113020000K0001076,CLORURO EN 24 HORAS,,
1701,1,30030601000809301000,"MIELOGRAFIA , MEDULA DORSAL, SIN CONTRASTE",,
2280,1,CCD00351T,FOSFATO CÁLCICO % (CÁLCULOS RENALES),,
2298,1,CCD00383N,FSH  2ª TOMA (EN SANGRE),,
1255,1,300114029900N0000037,ANTICOAGULANTE LÚPICO,,
52,1,0121206041,AG. VIRUS DE LA HEPATITIS B AG CORE METODO EIA,,
2077,1,CCD00103I,FORMAS INMÓVILES PARA INSEMINACIÓN (EN LIQUIDO SEMINAL),,
399,1,300113030100K0001200,LISINA ORINA,,
468,1,300113030100N0001230,POLIPÉPTIDO PANCREÁTICO,,
596,1,300113030208N0000438,IGE ESPECIFICA  CONEJO,,
51,1,0121206040,HBS AG CONFIRMATORIO (ELISA),,
1634,1,30030600861725301000,"TC OSTEOARTICULAR , ANTEBRAZO AMBOS, SIN CONTRASTE",,
1839,1,30030901521725602000,"RM VASCULAR , BRAZO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
1907,1,30031702980000000000,INTERVENCIONISMO TORAX CON CONTROL DE IMAGEN,,
306,1,300113010000N0000053,PROTEÍNAS TOTALES,,
2141,1,CCD00170I,MOTILIDAD NO PROGRESIVA (EN LIQUIDO SEMINAL),,
219,1,0121211061,GENOTIPO VIRUS PAPILOMA HOMANO METODO SECUEN,,
947,1,300113070100N0001461,ETOSUXIMIDA,,
1413,1,30030100031928615000,"RX ESQUELETO PERIFERICO, PIE DERECHO/IZQUIERDO, EN CARGA",,
1588,1,30030600830102301000,"TC CARA Y BASE DE CRANEO , SILLA TURCA , SIN CONTRASTE",,
2301,1,CCD00386N,RENINA 1ª TOMA (EN SANGRE),,
1680,1,30030600930912602000,"TC VASCULAR , ARTERIAS PULMONARES , SIN CONTRASTE Y CON CONTRASTE",,
979,1,300113080100N0000841,PÉPTIDO INTESTINAL VASOACTIVO (VIP),,
141,1,0121209340,AC. ANTI-BRUCELLA ROSA DE BENGALA METODO AGLUT.,,
420,1,300113030100N0000114,COMPLEMENTO  C1 INHIBIDOR,,
1010,1,300113110000K0000916,SEROTONINA ORINA,,
590,1,300113030207N0000427,IGE ESPECIFICA  SALMON,,
190,1,01212096612,AC. ANTI-BORDETELLA PERTUSSIS IGG METODO ELISA,,
1379,1,30030100031624007000,"RX ESQUELETO PERIFERICO, HUMERO AMBOS, AP Y TRASTORACICA",,
236,1,0121812120,ANTICUERPOS ANTITIROGLOBULINA CON EXTRACCION,,
1009,1,300113110000K0000915,PORFOBILINÓGENO,,
1678,1,30030600930912502000,"TC VASCULAR , ARTERIAS CORONARIAS , SIN CONTRASTE Y CON CONTRASTE",,
1698,1,30030600970000002000,"CISTERNOGRAFIA TC , SIN CONTRASTE Y CON CONTRASTE",,
54,1,0121206060,AC. ANTI-VIRUS DE LA HEPATITIS B AG SUPERFICIE METODO ELISA,,
2732,1,30030601002231701000,"MIELOGRAFIA , MEDULA COMPLETA, SIN CONTRASTE",,
891,1,300113050000N0001071,AC IGG ANTI GANGLIOSIDO GQ1B,,
293,1,300113010000N0000038,GAMMA-GLUTAMIL-TRANSPEPTIDASA (gGT),,
1199,1,300113121400X0001051,PROTEINOGRAMA EN LIQUIDOS BIOLOGICOS S.E.,,
1866,1,30031001700202600000,"ANGIOGRAFIA, CEREBRO UN VASO",,
561,1,300113030204N0000376,IGE ESPECIFICA  TOMATE,,
115,1,0121209130,AC. ANTI-VIRUS VARICELA ZOSTER IGM METODO ELISA,,
2143,1,CCD00172I,MOTILIDAD PROGRESIVA LENTA (EN LIQUIDO SEMINAL),,
691,1,300113030404N0001687,IGE RECOMBINANTE Tria a 19 (Trigo-Anafilaxia ejercicio),,
709,1,300113030409N0001672,IGE RECOMBINANTE Phl p7 (Hierba Timotea),,
1892,1,30031402210911100000,"COLOCACION PROTESIS/STENT, ARTERIA AORTA TORACICA",,
1929,1,ANT000021,ÁCIDO NALIDÍXICO (2),,
1034,1,300113110000N0000892,LACTATO-DESHIDROGENASA 1,,
1172,1,300113121200J0001024,ESTUDIO CITOLÓGICO CÉLULAS MONONUCLEARES EN LIQUIDO SINOVIAL,,
1563,1,30030500741219000000,"DOPPLER VENOSO , VENA CAVA INFERIOR E ILIACAS",,
647,1,300113030215N0000561,IGE ESPECIFICA  FRESNO,,
1916,1,30031803350000000000,ESCLEROSIS  CAVIDADES,,
191,1,01212096616,AC. ANTI-BORDETELLA PERTUSSIS IGM METODO ELISA,,
2274,1,CCD00345K,TRICHOMONAS (EN ORINA),,
1192,1,300113121400X0001040,GLUCOSA EN LIQUIDOS BIOLOGICOS S.E.,,
643,1,300113030215N0000545,IGE ESPECIFICA  ACACIA,,
967,1,300113080100N0000828,AG CA 50 (AG CARBOHIDRATADO 50),,
1381,1,30030100031624107000,"RX ESQUELETO PERIFERICO, HUMERO DERECHO/IZQUIERDO, AP Y TRASTORACICA",,
1700,1,30030601000505602000,"MIELOGRAFIA , MEDULA CERVICAL, SIN CONTRASTE Y CON CONTRASTE",,
1179,1,300113121200J0001032,VISCOSIDAD EN LIQUIDO SINOVIAL,,
1490,1,30030200370000000000,PIELOGRAFIA ASCENDENTE,,
1981,1,ANT000190,LINEZOLID,,
793,1,300113040000N0000665,TIROGLOBULINA,,
1334,1,300114080100N0000184,EXTRACCIÓN DE RNA,,
15,1,0121202080,"CULTIVO DE EXUDADO FARINGEO, OTICO, OCULAR, NASAL, SIN GRAM.",,
1697,1,30030600970000001000,"CISTERNOGRAFIA TC , SIN CONTRASTE",,
2106,1,CCD00137N,HEMATÍES (EN SANGRE),,
2384,1,MUE000133,EXUDADO NASOFARINGEO,,
69,1,0121206151,AC. ANTI-VIRUS DE LA HEPATITIS D IGG METODO EIA,,
591,1,300113030207N0000428,IGE ESPECIFICA  SARDINA,,
908,1,300113050000N0001560,AC ANTI COCLEARES 68kD (hsp-70),,
1128,1,300113120800F0000973,GLUCOSA EN LIQUIDO PERICARDICO,,
1384,1,30030100031624320000,"RX ESQUELETO PERIFERICO, MANO DERECHA/IZQUIERDA, PA Y LAT",,
247,1,0121812460,TSH CON EXTRACCION,,
2114,1,CCD00144N,INSULINA BASAL  (EN SANGRE),,
1583,1,30030600830101202000,"TC CARA Y BASE DE CRANEO , FACIAL/SENOS , SIN CONTRASTE Y CON CONTRASTE",,
841,1,300113050000N0000717,AC IGG ANTI GANGLIÓSIDO GD1A,,
1000,1,300113100000N0000871,GENOTIPO APOLIPOPROTEINA E,,
2195,1,CCD00228N,VOLUMEN PLAQUETAR MEDIO (EN SANGRE),,
529,1,300113030204N0000297,IGE ESPECIFICA  CURRY,,
2450,1,300113030203N0000206,IGE ESPECIFICA  CASPA  VACA,,
1531,1,30030400631115000000,"ECOGRAFIA ORGANOS/PARTES BLANDAS, INTESTINO",,
2050,1,CCD00069N,CONCENTRACIÓN HEMOGLOBINA CORPUSCULAR MEDIA (EN SANGRE),,
73,1,0121206180,HEV AC  IGM  (ELISA),,
1061,1,300113110000N0001281,INDICE DE RIESGO BIOQUIMICO SEGUNDO TRIMESTRE,,
2718,1,300114080100N0000248,INMUNOFENOTIPO ZAP-70,,
2245,1,CCD00299I,TEST DE PROGRESIÓN  (EN LIQUIDO SEMINAL),,
2333,1,CCD00437N,RECUENTO PLAQUETAS EDTA (EN SANGRE),,
2480,1,300113090000N0000852,"HLA TRASPLANTE  (A,B,DQ,DR)",,
99,1,0121209061,AC. ANTI-VIRUS DEL HERPES SIMPLE TIPO 2 IGG METODO ELISA,,
1894,1,30031502500000000000,INTERCONSULTA: INTERVENCIONISMO VASCULAR VENOSO DIAGNOSTICO,,
1522,1,30030400630505200000,"ECOGRAFIA ORGANOS/PARTES BLANDAS, GLANDULA SUBMAXILAR AMBAS",,
2467,1,300113030215N0000551,IGE ESPECIFICA  AVELLANO,,
416,1,300113030100N0000110,CERULOPLASMINA (FERROXIDASA),,
2218,1,CCD00256K,DERIVADOS OPIACEOS (EN ORINA),,
1842,1,30030901522029702000,"RM VASCULAR , MUSLO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
2475,1,300113050000N0001603,AC ANTI LACTOFERRINA,,
1946,1,ANT000066,CEFUROXIMA (2),,
1359,1,30030100030707219000,"RX ESQUELETO PERIFERICO, CLAVICULA DERECHA/IZQUIERDA, PA",,
1724,1,30030901410100702000,"RM CABEZA Y CUELLO, CAIS     , SIN CONTRASTE Y CON CONTRASTE",,
2750,1,30031702870000000000,CEPILLADO Y BIOPSIA ENDOUROLOGICA,,
2565,1,CCD00375N,GH 2ª TOMA (EN SANGRE),,
626,1,300113030212N0000496,IGE ESPECIFICA  ISOCIANATO MDI,,
2716,1,300114080100N0000173,BÚSQUEDA Y DETECCIÓN DE MUTACIONES A LO LARGO DE TODO EL EXÓN 28 DEL GEN DEL FACTOR VON WILLEBRAND,,
248,1,0121812480,VITAMINA B12 CON EXTRACCION,,
1302,1,300114040000N0000110,"HEMOGLOBINAS, ELECTROFORESIS",,
1264,1,300114029900N0000053,"FIBRINÓGENO, DERIVADO",,
2046,1,CCD00063N,COCIENTE KAPPA/LAMBDA (EN SANGRE),,
2653,1,300113030214N0001339,"IGE ESPECIFICA ANISAKIS, ASCARIS, ECHINOCOCCUS",,
597,1,300113030208N0000441,IGE ESPECIFICA  POLLO,,
2600,1,0121812380,SOMATOMEDINA C (IGF - 1) CON EXTRACCION,,
390,1,300113030100K0001187,ACIDO GLUTÁMICO ORINA,,
535,1,300113030204N0000318,IGE ESPECIFICA  JUDIA BLANCA,,
2131,1,CCD00160N,LINFOCITOS (EN SANGRE),,
1146,1,300113120900G0001510,AG C19.9 LÍQUIDO PERITONEAL,,
1373,1,30030100031623406000,"RX ESQUELETO PERIFERICO, DEDOS MANO DERECHA/IZQUIERDA, AP Y LAT",,
2435,1,0121211028,DNA VIRUS HERPES HUMANO 8 METODO PCR,,
2261,1,CCD00330K,CÉLULAS EPITELIALES DE TRANSICIÓN (EN ORINA),,
2235,1,CCD00283N,AC ANTI MÚSCULO LISO (ACTINA) (EN SANGRE),,
2460,1,300113030204N0000354,IGE ESPECIFICA  PEPINO,,
292,1,300113010000N0000037,FOSFATO,,
1881,1,30031302041218800000,"ARTERIOGRAFIA, TRONCOS VISCERALES DIGESTIVOS",,
1682,1,30030600930912702000,"TC VASCULAR , ARTERIAS SUPRAORTICAS , SIN CONTRASTE Y CON CONTRASTE",,
188,1,0121209661,AC. ANTI-COXIELLA BURNETII FASE II IGG METODO ELISA,,
619,1,300113030211N0001282,IGE ESPECIFICA  CUCARACHA ALEMANA,,
697,1,300113030404N0001719,IGE RECOMBINANTE RARA H 1 (CACAHUETE) F422,,
1817,1,30030901501113602000,"RM ABDOMINAL, ABDOMEN, SIN CONTRASTE Y CON CONTRASTE",,
2679,1,300113100000N0001473,ESTUDIO GENÉTICO: ENFERMEDAD de HUNTINGTON,,
154,1,0121209423,AC. ANTI-TRYPANOSOMA CRUZI METODO EIA,,
595,1,300113030208N0000437,IGE ESPECIFICA  CERDO,,
2775,1,CCD00273N,AC ANTI RNP- 70K (EN SANGRE),,
201,1,0121209668,AC. ANTI-VIRUS DEL DENGUE IGG METODO ELISA,,
2789,1,CCD00373N,TSH 3ª TOMA (EN SANGRE),,
2264,1,CCD00333K,CRISTALES DE FOSFATO TRIPLE (EN ORINA),,
2795,1,CCD00452N,POTASIO 120 MIN (EN SANGRE),,
1375,1,30030100031623811000,"RX ESQUELETO PERIFERICO, HOMBRO AMBOS, AXIAL 30º- 60º- 90º",,
1204,1,300113121400X0001234,RECUENTO HEMATIES LÍQUIDOS BIOLÓGICOS S.E,,
897,1,300113050000N0001209,AC. ANTI COLINESTERASA,,
1705,1,30030601010000002000,"DISCOGRAFIA , SIN CONTRASTE Y CON CONTRASTE",,
2224,1,CCD00264K,REABSORCIÓN TUBULAR DE FOSFATO (EN ORINA),,
2687,1,300113120900G0001288,COLINESTERASA LÍQUIDO PERITONEAL,,
328,1,300113020000K0000068,CLORURO EN UN TIEMPO DETERMINADO,,
1251,1,300114020100N0000032,FACTOR XII,,
2355,1,CCD00578N,Tº VENENO VÍBORA RUSELL DILUIDO CONFIRMACIÓN EN RATIO (DRVVc) (EN SANGRE),,
580,1,300113030207N0000407,IGE ESPECIFICA  ATUN,,
1599,1,30030600860706902000,"TC OSTEOARTICULAR , ARTICULACION ESTERNO-CLAVICULAR AMBAS, SIN CONTRASTE Y CON CONTRASTE",,
1085,1,300113120200U0001122,PH HECES,,
2093,1,CCD00121N,GH 120 MIN (EN SANGRE),,
763,1,300113040000N0000635,CORTISOL 8 HORAS,,
732,1,300113030416N0001680,IGE RECOMBINANTE Sal k1 (Salsola),,
894,1,300113050000N0001099,AC IGG ANTI AQUAPORINA 4 (NMO),,
2549,1,30031402211928400000,"COLOCACION PROTESIS/STENT, MIEMBRO INFERIOR DERECHO/IZQUIERDO",,
2272,1,CCD00341K,CÉLULAS RENALES (EN ORINA),,
2508,1,300114040000N0000096,"FALCIFORMACIÓN, TEST DE",,
2220,1,CCD00258K,METANFETAMINA (EN ORINA),,
84,1,0121208010,AC. ANTI-TREPONEMA PALLIDUM RPR METODO AGLUT.,,
817,1,300113050000N0000691,AC ANTI ANFIFISINA,,
2374,1,MUE000111,EXUDADO BALANOPREPUCIAL,,
2423,1,0121208065,AC. ANTI-VIRUS DE LA RUBEOLA IGG AVIDEZ METODO EIA,,
45,1,0121206010,AC. ANTI-VIRUS DE LA HEPATITIS A IGG METDOD EIA,,
2633,1,300113030203N0000230,IGE ESPECIFICA  PLUMAS DE LORO,,
1134,1,300113120900G0000977,ALBÚMINA EN LIQUIDO PERITONEAL,,
1831,1,30030901521114902000,"RM VASCULAR , HIGADO, SIN CONTRASTE Y CON CONTRASTE",,
2192,1,CCD00225I,VOLUMEN (EN LIQUIDO SEMINAL),,
124,1,0121209220,"AC PARAINFLUENZA (1,2,3) (FIJACION DE COMPLEMENTO)",,
1597,1,30030600851013502000,"TC DE COLUMNA , RAQUIS LUMBO SACRO, SIN CONTRASTE Y CON CONTRASTE",,
1487,1,30030200341624700000,"FLEBOGRAFIA, MIEMBRO SUPERIOR DERECHO/IZQUIERDO",,
1722,1,30030801400000000000,INTERCONSULTA: PET-TC,,
1903,1,30031702880000000000,PIELOGRAFIA PERCUTANEA,,
1354,1,30030100020000012000,"RX ABDOMINAL, BIPEDESTACION",,
2084,1,CCD00112N,GAMMA GLOBULINA (%) (EN SANGRE),,
35,1,0121203072,IDENTIFICACION DE PARASITOS (3),,
785,1,300113040000N0000657,PÉPTIDO C,,
1120,1,300113120600D0001323,ALBÚMINA LÍQUIDO DIÁLISIS,,
2017,1,CCD00036N,BETA 1 GLOBULINA (EN SANGRE),,
208,1,0121210065,ANTÍGENO DE ROTAVIRUS,,
2561,1,CCD00316U,GRASAS (EN HECES),,
784,1,300113040000N0000656,PARATHORMONA (PARATRINA),,
1173,1,300113121200J0001025,ESTUDIO CITOLÓGICO CÉLULAS POLIMORFONUCLEARES EN LIQUIDO SINOVIAL,,
424,1,300113030100N0000118,CRIOGLOBULINAS,,
2199,1,CCD00232N,HEMOGLOBINA GLICADA AC (HBAC) (EN SANGRE),,
1343,1,300114080200N0000264,CITOGENÉTICA SANGRE PERIFÉRICA,,
263,1,300113010000N0000005,ALDOLASA,,
2494,1,300113120200U0001217,PROTEÍNAS HECES,,
2745,1,30031402091624600000,"ANGIOPLASTIA, MIEMBRO SUPERIOR AMBOS",,
1727,1,30030901410202501000,"RM CABEZA Y CUELLO, CEREBRO , SIN CONTRASTE",,
2202,1,CCD00235K,HEMATIES CUANTIFICADOS POR CITOMETRIA (EN ORINA),,
2758,1,30610101050010200000,"RX COLUMNA TOTAL, BIPEDESTACION, AP Y LAT",,
2598,1,0121812230,HORMONA DEL CRECIMIENTO (HGH) CON EXTRACCION,,
2578,1,0121203022,IDENTIFICACION DE MICOBACTERIAS (3),,
1582,1,30030600830101201000,"TC CARA Y BASE DE CRANEO , FACIAL/SENOS , SIN CONTRASTE",,
2223,1,CCD00262N,NIVELES MEDICAMENTOS:PERFUSIÓN CONTINUA (EN SANGRE),,
396,1,300113030100K0001196,HISTIDINA ORINA,,
23,1,0121202185,CULTIVO TRICHOMONAS,,
2082,1,CCD00110N,FSH 30 MIN  (EN SANGRE),,
2709,1,300114029900N0000068,"PROTROMBINA, FRAGMENTO (1 + 2)",,
1156,1,300113121000H0001000,ESTUDIO CITOLÓGICO CÉLULAS MONONUCLEARES EN LIQUIDO PLEURAL,,
686,1,300113030403N0001666,IGE RECOMBINANTE Fel d1 (Gato),,
2713,1,300114040000N0000093,CÉLULAS LE,,
1227,1,300114010100N0000233,FACTOR RH,,
1570,1,30030500790000000000,CONSULTA POR TELERRADIOLOGIA: DOPPLER,,
286,1,300113010000N0000029,DIÓXIDO DE CARBONO (CO2 TOTAL),,
1362,1,30030100031319903000,"RX ESQUELETO PERIFERICO, CADERA AMBAS, ALAR Y OBTURATRIZ",,
720,1,300113030412N0001696,IGE RECOMBINANTE Hev b6.02 (Látex-NO Reactiv.Cruz),,
2624,1,300113030100N0001182,TAURINA SANGRE,,
1072,1,300113120200U0000923,ANTITRIPSINA ALFA 1 HECES,,
705,1,300113030407N0001668,IGE RECOMBINANTE Cyp c1 (Carpa),,
1417,1,30030100031928806000,"RX ESQUELETO PERIFERICO, RODILLA DERECHA/IZQUIERDA, AP Y LAT",,
1884,1,30031302041928300000,"ARTERIOGRAFIA, MIEMBRO INFERIOR AMBOS",,
2425,1,0121209116,AC. ANTI-VIRUS DE EPSTEIN-BARR EA D METODO EIA,,
97,1,0121209050,AC. ANTI-CYTOMEGALOVIRUS IGM METODO ELISA,,
352,1,300113020000K0000096,URATO,,
359,1,300113020000K0001074,CALCIO EN 24 HORAS,,
1405,1,30030100031927906000,"RX ESQUELETO PERIFERICO, FEMUR DERECHO/IZQUIERDO, AP Y LAT",,
2547,1,30031402211624700000,"COLOCACION PROTESIS/STENT, MIEMBRO SUPERIOR DERECHO/IZQUIERDO",,
202,1,0121209669,AC. ANTI-VIRUS DEL DENGUE IGM METODO ELISA,,
951,1,300113070200K0000815,ANFETAMINA ORINA,,
1610,1,30030600861320002000,"TC OSTEOARTICULAR , CADERA DERECHA/IZQUIERDA, SIN CONTRASTE Y CON CONTRASTE",,
2491,1,300113110000N0001619,ACIDOS GRASOS LIBRES,,
268,1,300113010000N0000010,BILIRRUBINA TOTAL,,
615,1,300113030210N0000470,IGE ESPECIFICA  VESPULA,,
815,1,300113040000N0001557,SOMATOSTATINA,,
2705,1,300114010200N0000006,ANTICUERPOS  ANTI ERITROCITARIOS RELACIONADOS CON FÁRMACOS,,
450,1,300113030100N0000147,MIOGLOBINA SANGRE,,
1649,1,30030600861928701000,"TC OSTEOARTICULAR , RODILLA AMBAS, SIN CONTRASTE",,
964,1,300113080100N0000825,AG CA 125 (AG CARBOHIDRATADO 125),,
2163,1,CCD00193N,PO2 PRESION PARCIAL DE OXÍGENO (EN SANGRE),,
1904,1,30031702940000000000,PAAF (PUNCION-ASPIRACION AGUJA FINA) CON CONTROL DE IMAGEN,,
2473,1,300113040000N0001624,17-HIDROXI-PREGNENOLONA,,
269,1,300113010000N0000012,CALCIO,,
1344,1,300114080300N0000207,F.I.S.H. PARA SÍNDROME MIELOPROLIFERATIVO,,
1616,1,30030600861623102000,"TC OSTEOARTICULAR , CODO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
309,1,300113010000N0000057,URATO,,
216,1,0121211032,CARGA VIRAL VIRUS EPSTEIN-BAR METODO PCR CUANT,,
652,1,300113030215N0001140,IGE ESPECIFICA CIPRES ARIZONA (CUPRESSUS ARIZONICA),,
1686,1,30030600931217202000,"TC VASCULAR , ARTERIA MESENTERICA, SIN CONTRASTE Y CON CONTRASTE",,
1193,1,300113121400X0001042,INMUNOGLOBULINA A SECRETORA (IGA) EN LIQUIDOS BIOLOGICOS S.E.,,
1581,1,30030600830101102000,"TC CARA Y BASE DE CRANEO , DIENTES, SIN CONTRASTE Y CON CONTRASTE",,
274,1,300113010000N0000017,COBRE,,
2113,1,CCD00143N,ÍNDICE DE QUICK (EN SANGRE),,
2696,1,300113121200J0001022,COMPLEMENTO C4 EN LIQUIDO SINOVIAL,,
401,1,300113030100K0001204,TIROSINA ORINA,,
301,1,300113010000N0000048,LIPOPROTEÍNA A Lp(a),,
2622,1,300113030100N0001180,METIONINA SANGRE,,
1398,1,30030100031927417000,"RX ESQUELETO PERIFERICO, CALCANEO AMBOS, LAT Y AXIAL",,
1501,1,30030300520000000000,GALACTOGRAFIA UNILATERAL,,
2032,1,CCD00049I,CÉLULAS ESPERMATOGÉNESIS (EN LIQUIDO SEMINAL),,
1877,1,30031202030000000000,INTERCONSULTA: NEUROINTERVENCIONISMO NO VASCULAR TERAPEUTICO,,
1925,1,3012340108205013115,"HELICOBACTER PYLORI, DETECCIÓN AG, HECES, ICT",,
2717,1,300114080100N0000190,PCR- BCL2  (LINFOMAS),,
1500,1,30030300510000000000,MAMOGRAFIA BILATERAL,,
553,1,300113030204N0000359,IGE ESPECIFICA  PIMIENTA NEGRA,,
1313,1,300114070100N0000143,ANTÍGENOS DE SUPERFICIE,,
83,1,0121207041,AG. Y AC. ANTI-VIRUS DE LA INMUNODEFICIENCIA HUMANA METODO EIA,,
1880,1,30031302041115900000,"ARTERIOGRAFIA, RIÑON DERECHO/IZQUIERDO",,
1622,1,30030600861623902000,"TC OSTEOARTICULAR , HOMBRO DERECHO/IZQUIERDO, SIN CONTRASTE Y CON CONTRASTE",,
466,1,300113030100N0001119,CADENA LAMBDA LIGERA LIBRE SANGRE,,
738,1,300113040000K0000682,ALDOSTERONA ORINA,,
2582,1,0121209114,AC. ANTI-VIRUS DE EPSTEIN-BARR EBNA IGM METODO EIA,,
1301,1,300114040000N0000109,HEMOGLOBINA S,,
1043,1,300113110000N0000901,PRO-PÉPTIDO NATRIURÉTICO NT,,
366,1,300113020000K0001081,MAGNESIO EN 24 HORAS,,
2432,1,0121209462,AC. ANTI-BORRELIA BURGDOFERRI IGM METODO WB,,
1038,1,300113110000N0000896,LACTATO-DESHIDROGENASA 5,,
2376,1,MUE000116,EXUDADO CONJUNTIVAL DERECHO,,
2407,1,OTPROSCI,OSCILOMETRIA,,
1084,1,300113120200U0001121,LEUCOCITOS HECES,,
307,1,300113010000N0000055,SODIO,,
1069,1,300113110000N0001573,INDICE PINI,,
1226,1,300114010100N0000232,"GRUPO SANGUINEO (A, B, O)",,
2175,1,CCD00206I,RECUENTO ESPERMIOS  (EN LIQUIDO SEMINAL),,
2327,1,CCD00429K,CRISTALES DE OXALATO CALCICO (EN ORINA),,
2645,1,300113030205N0000394,IGE ESPECIFICA  QUESO ( TIPO CHEDDAR),,
2649,1,300113030209N0000443,IGE ESPECIFICA  AGROSTIS STOLONIFERA 80 (RASTRERAS),,
806,1,300113040000N0000678,VITAMINA E,,
844,1,300113050000N0000720,AC IGG ANTI GANGLIÓSIDO GM2,,
2092,1,CCD00120N,GH 90 MIN  (EN SANGRE),,
758,1,300113040000N0000630,CALCIDIOL (25 HIDROXICOLECALCIFEROL),,
2229,1,CCD00277N,AC ANTI GLIADINA IgA (EN SANGRE),,
2557,1,ANT000016,BETA-LACTAMASA AMPLIO ESPECTRO (2),,
1138,1,300113120900G0000983,ESTUDIO CITOLÓGICO CÉLULAS POLIMORFONUCLEARES EN LIQUIDO PERITONEAL,,
2232,1,CCD00280N,AC ANTI TRANSGLUTAMINASA IgG (EN SANGRE),,
369,1,300113020000K0001084,OXALATO EN 24 HORAS,,
2205,1,CCD00241N,BETA GLOBULINA TOTAL (EN SANGRE),,
2738,1,30030901562232302000,"RM DINAMICA, SISTEMA VASCULAR VENOSO CENTRAL, SIN CONTRASTE Y CON CONTRASTE",,
