cod_prinactivo,Frequency.1,codes,spanish description,english description,comment
401,1,200326A,NEOMICINA + ESTREPTOMICINA  +  FORMILSULFATIAZOL,,
301,1,1962A,METOXALENO,,
1398,1,454A,BACLOFENO,,
1501,1,7200A,RIFABUTINA,,
2032,1,8492A,AXITINIB,,
1877,1,201344A,HIDROCORTISONA + CLOTRIMAZOL,,
1925,1,200976A,"VIRUS PAPILOMA HUMANO (TIPOS 6, 11, 16, 18)",,
1500,1,7192A,PRAVASTATINA,,
553,1,200834A,ACETILSALICILICO ACIDO + CAFEINA,,
1313,1,323A,CLORFENAMINA,,
83,1,106A,BENCILPENICILINA,,
1880,1,200897A,ARNICA MONTANA + ARTEMISIA ABSINTHIUM + ANEMONA PULSATILLA,,
1622,1,8623A,MIRABEGRON,,
466,1,200610A,SALMETEROL + FLUTICASONA (50/500),,
738,1,201281A,AZUFRE PRECIPITADO + PASTA AL AGUA,,
1301,1,3172A,TRIMEBUTINA,,
1043,1,2892A,TADALAFILO,,
366,1,200228A,FUROSEMIDA + TRIAMTERENO,,
1038,1,2866A,FONDAPARINUX,,
1084,1,300045A,BOLSAS ILEOST RESINA SINTETICA ADHESIVO MICROPORO,,
307,1,1999A,NAFTIDROFURILO,,
1069,1,300005A,ABSORBENTE INC ORINA NOC RECT,,
1226,1,300725A,ABSORBENTE INC ORINA SUP-NOC ELAST ANAT,,
2175,1,124A,CITARABINA,,
806,1,2109A,OXICONAZOL,,
844,1,2221A,ANTIGENO SUPERFICIE HEPATITIS B,,
2092,1,364A,EPIRUBICINA,,
758,1,201320A,VILANTEROL + UMECLIDINIO,,
2229,1,1093A,SACARINA*,,
1138,1,300345A,MUÑEQUERA METACARPIANA,,
2232,1,14CI,CAFEINA CITRATO,,
369,1,200238A,GONADOTROFINA MENOPAUSIA HUMANA (HMG) (MENOTROPINA),,
2205,1,2993A,TIPRANAVIR,,
1464,1,637A,GEMFIBROZILO,,
250,1,1729A,HIDROXIZINA,,
456,1,200594A,OXITETRACICLINA + HIDROCORTISONA,,
571,1,200868A,POTASIO IODURO + IODO,,
1521,1,7330A,MICOFENOLICO ACIDO,,
142,1,1249A,ETAMSILATO,,
1485,1,7004A,ZONISAMIDA,,
2049,1,300782A,APOSITO DE ESPUMA POLIURETANO TUBULAR,,
639,1,201093A,AMINOACRIDINA+HEMISUCCIONATO DE HIDROCORTISONA+ALANTOÍNA+LIDOCAÍNA CLORHIDRATO,,
87,1,1078A,MESNA,,
1457,1,618PR,CLOBETASOL PROPIONATO,,
2246,1,200448A,SULFANILAMIDA + ZINC OXIDO,,
1573,1,8258A,DABIGATRAN,,
829,1,2179A,NIMODIPINO,,
1399,1,45A,AZATIOPRINA,,
721,1,201255A,"POLISACARIDOS PNEUMOCOCO SEROTIPOS 1,2,3,4,5,6B,7F,8,9N,9V,10A,11A,12F,14,15B,17F,18C,19A,19F,20,22F,23F,33F",,
1290,1,3117A,TIETILPERAZINA,,
163,1,1343A,HIDROCLOROTIAZIDA,,
1603,1,8453A,ASENAPINA,,
550,1,200830A,MAGNESIO CARBONATO + CALCIO CARBONATO,,
1945,1,200831A,VALERIANA + LUPULO,,
895,1,2400A,CEFIXIMA,,
1781,1,200936A,CLORFENAMINA + DEXAMETASONA + NEOMICINA + LISOZIMA,,
644,1,2010A,NEOSTIGMINA,,
481,1,200640A,BENZALCONIO CLORURO + BENZOATO + CISTEINA + GLICINA + TREONINA,,
2172,1,1012A,ANEMONA PULSATILLA,,
1767,1,201327A,BORDETELLA PERTUSSIS TOXOIDE+BORDETELLA PERTUSSIS HEMAGLUTININA FILAMENTOSA+BORDETELLA PERTUSSIS PERTACTINA+VIRUS POLIO TIPO I+VIRUS POLIO TIPO II+VIRUS POLIO TIPO III+TOXOIDE DIFTERICO+TOXOIDE TETANICO,,
2130,1,1568A,FLUNITRAZEPAM,,
909,1,2450A,CANRENONA,,
1461,1,633A,CLOMIPRAMINA,,
565,1,200858A,PREPARADOS CON SALICILATOS,,
666,1,201141A,METOCLOPRAMIDA+DEANOL+CIPROHEPTADINA,,
2074,1,8280A,ICATIBANT,,
2158,1,3169A,TETRAZEPAM,,
1830,1,100401A,BACTERIAS BIAL,,
683,1,201172A,INOSITOL + ACIDO FOLICO,,
2112,1,2833A,IMATINIB,,
1409,1,491A,BETAMETASONA,,
1440,1,565A,CARBIMAZOL,,
448,1,200564A,TICOLCHICOSIDO + PARACETAMOL,,
429,1,200450A,TECLOTIAZIDA POTASICA + CONCENTRADO ENZIMAS,,
1557,1,8076A,TAFLUPROST,,
1776,1,1060A,NEVIRAPINA,,
2200,1,2282A,VIRUS RUBEOLA,,
1631,1,8703A,CANAGLIFLOZINA,,
2157,1,300770A,APOSITO DE ESPUMA POLIURETANO CON PARAFINA,,
1253,1,300780A,APOSITO DE ESPUMA POLIURETANO EXTRAFINO CON SILICONA Y BORDE,,
961,1,2647A,PERMETRINA,,
1361,1,3773A,METILFENIDATO,,
1556,1,8075A,SITAGLIPTINA,,
1351,1,3698A,FLUDARABINA,,
1548,1,778A,DIHIDROERGOCRISTINA,,
1763,1,200800A,AGUA DEL CARMEN,,
1838,1,200907A,PARACLOROFENOL + TIMOL + HEXACLOROFENO + DEXAMETASONA,,
1901,1,726D,COMPLEJO HIERRO DEXTRAN,,
1502,1,7201A,RISPERIDONA,,
1197,1,300635A,VENDAJE TUBULAR,,
1510,1,7272A,REBOXETINA,,
1450,1,59A,RIBOFLAVINA*,,
1025,1,2819A,ALMOTRIPTAN,,
1209,1,300695A,COMPLETA POLIMERICA HIPERPROTEICA HIPERCALORICA CON FIBRA,,
2035,1,300832A,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE CON PLATA CON FILM DE POLIURETANO,,
1512,1,727A,DEXTROMETORFAN,,
1750,1,300821A,APOSITO MODULADOR DE METALOPROTEASAS,,
1190,1,300576A,CANULA TRAQUEOT-LARING SILICONA FENESTRADA,,
1854,1,3386A,CURCUMA,,
1966,1,300816A,APOSITO ESPUMA POLIURETANO CON PLATA CON SILICONA,,
2028,1,7068A,DAPTOMICINA,,
2052,1,2651A,LENOGRASTIM,,
1810,1,200534A,TOXOIDE TETANICO + ANTIGENO POLISACARIDO MENINGOCOCO GR C,,
707,1,201233A,PREDNISONA + NEOMICINA,,
807,1,2113A,ACARBOSA,,
2120,1,5016A,PROPILTIOURACILO,,
685,1,201176A,KETOCONAZOL + ACIDO SALICILICO + HIDROCORTISONA,,
513,1,200737A,EPROSARTAN + HIDROCLOROTIAZIDA,,
1592,1,8323A,LIRAGLUTIDA,,
2279,1,808A,BUFLOMEDIL,,
1212,1,300699A,MODULOS PROTEINA ENTERA,,
71,1,1005A,AMONIACO,,
1494,1,709A,DECUALINIO,,
1189,1,300575A,CANULA TRAQUEOT-LARING SILICONA,,
1668,1,986A,SULFADIAZINA,,
958,1,2636A,HAEMOPHILLUS INFLUENZAE TIPO B,,
2244,1,200300A,MEPIVACAINA + EPINEFRINA,,
373,1,200248A,HIDROCORTISONA + NEOMICINA,,
1468,1,648A,CLORAZEPATO DIPOTASICO,,
824,1,2158A,PIRIMETAMINA,,
1021,1,2813A,NARATRIPTAN,,
1493,1,7059A,FAMCICLOVIR,,
1436,1,557A,CAPREOMICINA,,
91,1,1088A,PENTOXIFILINA,,
865,1,22HH,MAGNESIO HIDROXIDO,,
417,1,200372A,POTASIO ASCORBATO-ASPARTATO,,
473,1,200619A,LOSARTAN + HIDROCLOROTIAZIDA 100/25,,
702,1,201215A,PYGEUM AFRICANUM + GLUTAMICO AC. + GLICINA + ALANINA,,
2226,1,100171A,FORMULA MAGISTRAL Y PREPARADO OFICINAL,,
1716,1,2451A,LISURIDA,,
1153,1,300364A,SONDA VESICAL NELATON,,
1429,1,525A,BUMETANIDA,,
2201,1,2374A,TERLIPRESINA,,
98,1,1117A,RIMEXOLONA,,
630,1,201041A,COMPLEJO VITAMINICO,,
1826,1,8668A,SIMEPREVIR,,
1213,1,300701A,MODULOS ESPESANTES,,
1171,1,300471A,TIRAS REACTIVAS GLUCOSA ORINA,,
1801,1,200928A,PEPSINA + LACTOSA + SACAROSA + SALES MG + SODIO,,
2260,1,2388A,DOSULEPINA,,
220,1,1615A,FUROSEMIDA,,
924,1,2500A,QUINAPRIL,,
1035,1,2860A,PARICALCITOL,,
493,1,200673A,CIPROFLOXACINO + FLUOCINOLONA,,
169,1,1374A,DIOSMINA,,
1608,1,847A,CROMOCARBO,,
572,1,200869A,CLORFENAMINA + TRAMAZOLINA,,
1196,1,300632A,SONDA VESICAL BAJA FRICCION TIEMANN CON BOLSA DE RECOGIDA DE ORINA,,
2128,1,1329A,PIPERAZINA,,
1011,1,2790A,TAZAROTENO,,
922,1,2497A,RAMIPRIL,,
139,1,123CL,POTASIO CLORURO,,
210,1,1565A,FLUFENAZINA,,
540,1,200801A,DEXTROMETORFANO + GUAIFENESINA,,
1006,1,2781A,ALENDRONICO ACIDO,,
1850,1,2882A,BOSENTAN,,
728,1,201267A,IODURO MAGNESIO+FLUORURO MAGNESIO+CLORURO MAGNESIO+BROMURO MAGNESIO,,
2095,1,2889A,PEGFILGRASTIM,,
440,1,200511A,SULPIRIDA + DIAZEPAM,,
599,1,200930A,ACETILCISTEINA + DITIOTREITOL + TUAMINOHEPTANO SULFATO + BENZALCONIO CLORURO + FLUDROCORTISONA ACETATO,,
690,1,201183A,OLMESARTAN + AMLODIPINO + HIDROCLOROTIAZIDA,,
1646,1,900A,LABETALOL,,
1794,1,300820A,APOSITO DE CADEXOMERO IODADO,,
1908,1,2324A,RIBAVIRINA,,
1661,1,947A,ESCINA,,
1911,1,200999A,HIDROGENO FOSFATO DE SODIO+DIHIDROGENO FOSFATO DE SODIO,,
353,1,200172A,EBASTINA + PSEUDOEFEDRINA,,
1871,1,811A,BUPIVACAINA,,
187,1,1438A,GELATINA*,,
1295,1,314PK,GLUCEPTATO POTASICO,,
1503,1,721A,DESOXIMETASONA,,
1586,1,8305A,TAPENTADOL,,
11,1,100260A,CREMA HIDRATANTE DE MANOS,,
555,1,200840A,BENZOCAINA + EFEDRINA,,
344,1,200150A,DICLOFENACO + TOBRAMICINA,,
988,1,2736A,TACALCITOL,,
213,1,157A,CARNITINA,,
264,1,1794NI,ISOSORBIDA MONONITRATO,,
453,1,200579A,CLORANFENICOL + DEXAMETASONA,,
882,1,235A,SERENOA REPENS,,
1106,1,300201A,CALCETIN ELASTICO TERAPEUTICO,,
1147,1,300356A,RODILLERA,,
517,1,200745A,SOLUCION ELECTROLITICA ISOTÓNICA,,
932,1,2546A,DEFLAZACORT,,
465,1,200609A,SALMETEROL + FLUTICASONA (50/250),,
913,1,2458A,NALTREXONA,,
1848,1,300822A,COMPRESA TOCOLOGICA DE ALGODON,,
1261,1,300792A,APOSITO DE HIDROCOLOIDE Y ALGINATO,,
503,1,200705A,FELODIPINO + RAMIPRIL,,
1973,1,2988A,ERLOTINIB,,
335,1,200113A,CLORFENAMINA + DIFENHIDRAMINA + FENILEFRINA,,
1363,1,3818A,OTILONIO BROMURO,,
681,1,201170A,ARANDANO ROJO + VITAMINA C,,
719,1,201253A,POVIDONA + GLICERINA,,
1459,1,631A,CLOMETIAZOL,,
356,1,200181A,ESCOPOLAMINA + METAMIZOL,,
1553,1,8031A,EXTRACTO POLEN PHELUM PRATENSE,,
818,1,2143A,HIDROXICLOROQUINA,,
693,1,201190A,NAPROXENO + ESOMEPRAZOL,,
648,1,201104A,DIMENHIDRANATO + ALMIDON,,
900,1,2417A,VINPOCETINA,,
981,1,2723A,ADAPALENO,,
1956,1,200398A,RETINOL +  ERGOCALCIFEROL,,
755,1,201314A,KETOCONAZOL + ACETONIDO TRIAMCINOLONA,,
1841,1,8594A,SOFOSBUVIR,,
489,1,200665A,CIANOCOBALAMINA + PIRIDOXINA + TIAMINA,,
1037,1,2864A,BIMATOPROST,,
676,1,201160A,FITINA + VITAMINA A + ZINC,,
1274,1,300842A,BOLSA SISTEMA DOBLE PLACA C-ESP TRANSPARENTE,,
1524,1,7358A,CEFDITORENO,,
1152,1,300363A,SONDA VESICAL LATEX,,
1797,1,8612A,REGORAFENIB,,
1113,1,300209A,COLECTOR ORINA CON APOSITO,,
883,1,2361A,TIOCONAZOL,,
731,1,201273A,TRIAMCINOLONA + FRAMICETINA,,
1427,1,51A,ESTREPTOMICINA,,
1177,1,300485A,SONDA VESICAL BAJA FRICCION NELATÓN PEDIATRIA,,
966,1,2662A,RIFAXIMINA,,
759,1,201321A,GLICERINA + BICARBONATO SODICO + BORATO SODICO,,
1656,1,921A,FENOFIBRATO,,
724,1,201261A,PRAVASTATINA + FENOFIBRATO,,
890,1,2379A,AMISULPRIDA,,
642,1,201097A,TRIMETOPRIM + SULFAMETOXAZOL + BROMHEXINA + EXTO BALSAMO TOLU,,
231,1,1651NN,TRINITRATO DE GLICEROL,,
973,1,2695A,SOMATROPINA,,
1559,1,8082A,FESOTERODINA,,
6,1,100168A,CRISANTAPASE,,
661,1,201129A,CLOPIDOGREL + ACETILSALICILICO ACIDO,,
354,1,200174A,ENALAPRIL + HIDROCLOROTIAZIDA,,
1858,1,8496A,BELIMUMAB,,
1989,1,300849A,BOLSA NUTRICIÓN ENTERAL,,
751,1,201308A,SACCHAROMYCES BOULARDII + L ACTOBACILLUS RHAMNOSUS,,
1327,1,3327A,LOPERAMIDA,,
74,1,1023A,SIMVASTATINA,,
222,1,161SU,SELENIO SULFATO,,
1330,1,335A,IDOXURIDINA,,
1949,1,300819A,LOCION LIMPIADORA ANTIMICROBIANA,,
510,1,200731A,CALCIO CARBONATO + LACTOGLUCONATO CALCICO + COLECALCIFEROL,,
918,1,2477A,BROTIZOLAM,,
1771,1,2881A,ERTAPENEM,,
2187,1,200818A,SODIO BICARBONATO + MAGNESIO SULFATO,,
1941,1,100348A,ESPUMA PROTECTORA MANOS,,
796,1,2077A,OXIMETAZOLINA,,
906,1,2436A,ITRACONAZOL,,
2275,1,624A,CLOFEDANOL,,
523,1,200755A,TIMOLOL + BRIMONIDINA,,
334,1,200101A,CLOCINIZINA + FENILPROPANOLAMINA,,
308,1,-2,[Sin referencia],,
1926,1,100433A,NINTEDANIB,,
578,1,200877A,ACIDO SALICILICO + ACIDO LACTICO,,
771,1,201336A,CLORHEXIDINA DIGLUCONATO + LIDOCAINA HCL + NISTATINA,,
1297,1,3160A,TRAZODONA,,
1694,1,8457A,VANDETANIB,,
330,1,200093A,CIANOCOBALAMINA + ACIDO FOLICO,,
384,1,200276A,LEVODOPA + BENSERAZINA,,
389,1,200289A,LORATADINA + PSEUDOEFEDRINA,,
145,1,125CL,SODIO CLORURO,,
1118,1,300217A,COMPLETAS POLIMERICAS NORMOPROTEICA HIPERCALORICA,,
1800,1,2998A,OXIBATO DE SODIO,,
1463,1,636A,CLONIDINA,,
670,1,201153A,ACETONIDO TRIAMCINOLONA + CREMA LANETTE,,
2216,1,3151A,TRIFLUOPERAZINA,,
1899,1,201318A,LEDIPASVIR + SOFOSBUVIR,,
2268,1,300449A,HIDROCOLOIDE 15 x 15,,
2207,1,300097A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  25  MM,,
1812,1,300748A,LAMINA SILICONA,,
1425,1,518A,ETOPOSIDO,,
1001,1,2767A,ROPINIROL,,
497,1,200685A,NEOMICINA + POLIMIXINA + PREDNISOLONA,,
1091,1,300109A,BOLSAS RECOGIDA ORINA,,
316,1,200043A,ATENOLOL + BENDROFLUMETIAZIDA,,
830,1,2180A,TENOXICAM,,
991,1,2746A,PENCICLOVIR,,
1657,1,926A,FLUNARIZINA,,
1407,1,48A,LIDOCAINA,,
780,1,201364A,GINKGO BILOBA + MAGNESIO + ZINC + TRIPTOFANO + VIT B6,,
2045,1,2878A,VORICONAZOL,,
2233,1,1740A,OXITRIPTAN,,
244,1,1696A,YEDRA EXTO SECO,,
1454,1,616A,CLINDAMICINA,,
310,1,200005A,ACETILSALICILICO ACIDO + CODEINA + CAFEINA,,
656,1,201124A,ARANDANO ROJO + VID ROJA,,
1184,1,300520A,APOSITOS B OSTOM RES SINT MIC ACOPLAM ADH,,
239,1,1670A,GLUTAMICO ACIDO*,,
1872,1,1118A,CETRORELIX,,
88,1,107A,NIFLUMICO ACIDO,,
950,1,2594A,GRANISETRON,,
1445,1,585CL,CETILPIRIDINIO CLORURO,,
1266,1,300801A,APOSITO DE HIDROGEL EXTRAFINO,,
1154,1,300365A,SONDA VESICAL SILICONA,,
735,1,201278A,UREA + ADEPS LANAE + ACETONIDO TRIAMCINOLONA + ACIDO SALICILICO,,
1593,1,8348A,ULIPRISTAL,,
2007,1,8654A,DACLATASVIR,,
1439,1,561A,CARBAMAZEPINA,,
106,1,1136A,QUETIAPINA,,
1952,1,201358A,NAFAZOLINA + METILTIONINIO,,
2276,1,7140A,DOSMALFATO,,
801,1,209A,NORFLOXACINO,,
1125,1,300257A,FORMULAS ESPECIALES CON PROTEINAS DE SOJA SIN LACTOSA PARA LACTANTES,,
1495,1,7100A,FLUTRIMAZOL,,
2067,1,100341A,LECHE CORPORAL,,
1703,1,200942A,BENCETONIO + RETINOL + ZINC OXIDO,,
1081,1,300020A,BOLSA ADHESIVO Y FILTRO,,
2151,1,2246A,PYGEUM AFRICANUM,,
1874,1,200870A,PARACETAMOL + PSEUDOEFEDRINA + ACIDO ASCORBICO,,
1653,1,910A,PINAVERIO,,
178,1,1390A,DOBESILATO CALCICO,,
1769,1,200905A,ENZIMAS DIGESTIVOS,,
982,1,2724A,HIDROMORFONA,,
1254,1,300783A,APOSITO DE HIDROCOLOIDE,,
1148,1,300358A,SIST COLOST CONTINENTE AADH,,
1687,1,200838A,LIDOCAINA + CETRIMONIO,,
277,1,1850A,LINESTRENOL,,
2111,1,9123A,SECUKINUMAB,,
332,1,200099A,CIPROTERONA + ETINILESTRADIOL,,
1215,1,300705A,ABSORBENTE INC ORINA LIGERA FEMENINO,,
492,1,200672A,CLORANFENICOL + HIDROCORTISONA,,
3,1,100164A,VISADO 40%,,
203,1,1549A,FERROGLICINA,,
2026,1,200009A,ACETILSALICILICO ACIDO + GLUCOSAMINAGLUCONATO,,
963,1,2653A,CARBOMERO*,,
1575,1,8267A,BROMFENACO,,
985,1,2731A,POLIETILENGLICOL 4000*,,
377,1,200259A,ICTAMOL + MENTOL,,
1681,1,3268A,BCG (CULTIVO VIVO DESECADO),,
2039,1,1835A,LEVADURA CERVEZA,,
133,1,1216A,CARBON ADSORBENTE,,
1015,1,2796A,TOLTERODINA,,
1357,1,3735CH,DILTIAZEM CLORHIDRATO,,
317,1,200046A,ATENOLOL + CLORTALIDONA,,
1466,1,63PK,CITRATO POTASICO*,,
1233,1,300753A,APOSITO BASE CON BORDE,,
50,1,100391A,BACTERIAS PROBELTE PHARMA,,
2040,1,8579A,VEMURAFENIB,,
892,1,2389A,TRAMADOL,,
170,1,1377A,DIPIRIDAMOL,,
486,1,200654A,CLEMASTINA + DEXAMETASONA,,
462,1,200606A,SALMETEROL + FLUTICASONA (25/125),,
1849,1,200280A,LEVONORGESTREL + ESTRADIOL,,
602,1,200934A,ACIDO SALICILICO + ANTRAQUINONA GLUCOSIDOS,,
992,1,2751A,TAMSULOSINA,,
1341,1,3503A,PIDOLATO,,
1544,1,745SO,DICLOFENACO SODICO,,
1611,1,855A,DIFLORASONA,,
2210,1,300211A,COMPLETA POLIMERICAS NORMOPROTEICA HIPOCALORICA,,
1594,1,8350A,DRONEDARONA,,
923,1,2498HW,EPOETINA ALFA,,
1943,1,200815A,PARACETAMOL + CLORFENAMINA,,
314,1,200029A,AMOXICILINA + CLAVULANICO ACIDO,,
1806,1,8049A,VIRUS PAPILOMA HUMANO TIPO 16 PROTEINA L1,,
1339,1,34A,PIRIDOXINA,,
368,1,200232A,GELATINA,,
38,1,100327A,PARCHE JUANETES,,
1074,1,300011A,ALGODON ZIG-ZAG PURO,,
1772,1,300818A,APOSITO DE TERPOLIMERO DE ACRILATO,,
1208,1,300693A,FORMULAS COMPLETAS OLIGOMERICAS NORMOPROTEICAS INFANTIL,,
90,1,1085A,MOLSIDOMINA,,
1648,1,9048A,EMPAGLIFLOZINA,,
747,1,201303A,FORMOTEROL + FLUTICASONA,,
669,1,201152A,ACETONIDO TRIAMCINOLONA + ACIDO SALICILICO,,
1470,1,656A,CLORHEXIDINA,,
452,1,200578A,TRIAMCINOLONA + NISTATINA +NEOMICINA,,
2065,1,300118A,BOLSAS RESINA SINTETICA  FILTRO  40  MM,,
925,1,2502A,TIBOLONA,,
342,1,200146A,DIAZEPAM + PIRIDOXINA,,
471,1,200617A,INSULINA LISPRO INTERMADIA 50:50,,
524,1,200756A,ALERGENOS BIAL,,
57,1,100413A,GOTAS LUBRICANTES,,
1923,1,100270A,ALMOHADILLA ADHESIVA PROTESIS,,
1991,1,200975A,"VIRUS PAPILOMA HUMANO (TIPOS 16 Y 18) RECOMBINANTE ADYUVADA, ADSORBIDA",,
625,1,201012A,RETINOL+COLECALCIFEROL+OXIDO DE ZINC,,
2090,1,1073A,FOLITROPINA ALFA,,
1644,1,899A,KETOTIFENO,,
1543,1,745A,DICLOFENACO,,
1964,1,200000A,ABACAVIR + LAMIVUDINA + ZIDOVUDINA,,
2165,1,744A,TIOGUANINA,,
637,1,201089A,BALSAMO PERU + ACEITE RICINO,,
65,1,100432A,SALIVA ARTIFICIAL,,
1182,1,300504A,SUPLEMENTOS ALIMENTICIOS,,
1937,1,8475A,BOCEPREVIR,,
674,1,201158A,UREA + BETAMETASONA DIPROPIONATO,,
1095,1,300117A,BOLSAS RESINA SINTETICA  FILTRO  35  MM,,
996,1,2757A,LERCANIDIPINA,,
1388,1,417A,DESOGESTREL,,
1520,1,7322A,EBERCONAZOL,,
1150,1,300361A,SONDA GASTRICA,,
118,1,1171A,TRIAMCINOLONA,,
2096,1,201260A,ARTENIMOL+PIPERAQUINA TETRAFOSFATO TETRAHIDRATO,,
944,1,2582A,FLUTICASONA,,
63,1,100424A,CAPSULAS ANTICAIDA,,
1089,1,300096A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  20 - 55 MM,,
1099,1,300171A,BOLSAS SISTEMA DOBLE PLACA C-ESP,,
773,1,201342A,EXTRACTOS CITOPLASMÁTICOS PURIFICADOS DE POLEN + VIT E,,
2204,1,278A,POLISACARIDOS-HIERRO,,
1584,1,8296A,DESVENLAFAXINA,,
2227,1,100394A,BACTERIAS STALLERGENES,,
1843,1,125ÑO,SODIO CLORURO,,
569,1,200863A,AMILMETACRESOL + DICLOROBENCILICO ALCOHOL,,
1596,1,8366A,INDACATEROL,,
650,1,201115A,MACROGOL + BICARBONATO SODICO + CLORURO SODICO + CLORURO POTASICO,,
1786,1,8266A,ETRAVIRINA,,
1576,1,8269A,VACCINIUM MACROCARPUM (ARANDANO ROJO),,
254,1,174JC,INSULINA BIFASICA,,
1360,1,3761A,PIPEMIDICO ACIDO,,
174,1,1381A,DISULFIRAM,,
319,1,200056A,BENCILPENICILINA  ( SODICA - PROCAINA - BENZATINA ),,
93,1,1098A,METILDIGOXINA,,
1111,1,300206A,CODERA,,
2103,1,201302A,CICLOPENTOLATO +FENILEFRINA+LIDOCAINA,,
1322,1,3276A,CEFACLOR,,
2009,1,200807A,ACETIL SALICILICO + CAFEINA + GLICINA,,
1293,1,3141A,TOBRAMICINA,,
2194,1,201107A,OXIMETAZOLINA CLORHIDRATO + BENZALCONIO,,
1207,1,300692A,FORMULAS COMPLETAS OLIGOMERICAS HIPERPROTEICAS,,
24,1,100278A,SOLUCION HIGIENE INTIMA,,
114,1,1164A,TIAPRIDA,,
1027,1,2831A,NADIFLOXACINO,,
703,1,201218A,RESORCINA + BIBORATO SODICO,,
1888,1,2688A,LANREOTIDA,,
2016,1,8347A,FINGOLIMOD,,
1055,1,2938A,RANELATO ESTRONCIO,,
1870,1,300813A,SISTEMA FIJACION VIAS PERIFERICAS,,
933,1,2552A,ACECLOFENACO,,
2211,1,300707A,LECHE Y FORMULAS DE CONTINUACION DESDE EL 4º Y 6º MES,,
130,1,120A,CICLOFOSFAMIDA,,
507,1,200725A,CALCIO GLUBIONATO + CALCIO CARBONATO,,
206,1,155A,TRETINOINA,,
1535,1,7411A,EPROSARTAN,,
1863,1,100283A,TINTE,,
2256,1,201059A,ACEITE ENEBRO+ACEITE CACAHUETE+ALQUITRAN PINO+BREA DE HULLA,,
2176,1,1583B,GONADOTROFINA CORIONICA HUMANA,,
1873,1,8286A,METILNALTREXONA,,
282,1,1878A,MEBEVERINA,,
1972,1,2897A,MIGLUSTAT,,
601,1,200932A,DEXAMETASONA + NEOMICINA + POLIMIXINA B*,,
1488,1,7013A,AMOROLFINA,,
740,1,201283A,ACIDO RETINOICO + BETAMETASONA DIPROPIONATO + ACIDO SALICILICO + UREA,,
1912,1,2190YC,POLIVIDONA IODADA,,
1574,1,825A,CEFADROXILO,,
2142,1,200973A,NICOTINA + LAROPIPRANT,,
1730,1,300812A,APOSITO DE COLAGENO CON CELULOSA OXIDADA REGENERADA,,
1370,1,385A,AMINOCAPROICO,,
1318,1,3262A,CARTEOLOL,,
410,1,200352A,PARACETAMOL + CAFEINA + DIMENHIDRINATO,,
439,1,200495A,ECHINACEA + TROSPIO + SABAL,,
2179,1,1922CH,METADONA CLORHIDRATO,,
1394,1,439A,CENTELLA ASIATICA EXTO,,
840,1,2209A,PROGESTERONA,,
2070,1,2498OV,METOXI-POLIETILENGLICOL-EPOETINA BETA,,
1023,1,2817A,BEMIPARINA,,
1518,1,7312A,DEXKETOPROFENO,,
2234,1,1761A,HOMATROPINA,,
1,1,-1,[Vacio],,
2025,1,948A,CASTAÑO INDIAS,,
152,1,1280A,ELETRIPTAN,,
1292,1,3128SU,CONDROITIN SULFATO,,
929,1,252A,ACEXAMICO ACIDO,,
718,1,201252A,LUTEINA + ACIDOS OMEGA 3 + VITAMINAS + MINERALES,,
1306,1,3194A,VALPROICO ACIDO,,
245,1,1704A,CELIPROLOL,,
426,1,200403A,SALES PARA REHIDRATACION ORAL,,
1822,1,200894A,ACIDO SALICILICO + ALCANFOR,,
628,1,201032A,RETINOL ACETATO + TOCOFEROL ACETATO,,
564,1,200857A,ZINC PIRITIONATO + BREA DE HULLA,,
859,1,2290A,SACCHAROMYCES BOULARDII,,
1161,1,300406A,ESPARADRAPO HIPOALERGICO,,
1633,1,8710A,ALOGLIPTINA,,
1008,1,2785A,ENTACAPONA,,
1551,1,8001A,AGUA MARINA,,
383,1,200275A,PROPILENGLICOL 4000+ CLORURO SODICO+ CLORURO POTASICO+ BICARBONATO SODICO+ SULFATO SODICO+ DIHIDROGENOFOSFATO DE SODICO,,
899,1,2408A,CINITAPRIDA,,
78,1,1046A,BARIO SULFATO,,
2043,1,200520A,RITONAVIR + LOPINAVIR,,
1528,1,7389A,BRIMONIDINA,,
954,1,2602A,CEFPODOXIMA,,
1342,1,3556A,ETILO CLORURO,,
1696,1,300810A,APOSITO FIJACION VIAS PERIFERICAS,,
2267,1,300144A,BOLSAS SISTEMA DOBLE  40  MM,,
1887,1,100392A,BACTERIAS INMUNOTEK,,
1435,1,54A,HIDROCORTISONA,,
2033,1,100356A,SEPARADEDO,,
1994,1,200221A,FLUOROMETOLONA + TETRIZOLINA,,
209,1,1562A,FLUDROCORTISONA,,
1659,1,930A,FLUOCORTOLONA,,
1540,1,7430A,DARBEPOETIN ALFA,,
1749,1,2677A,EQUINACEA ANGUSTIFOLIA,,
680,1,201168A,ZINC ACETATO + EOSINA,,
1483,1,69HP,ALUMINIO HIDROXIDO POLVO,,
1808,1,200884A,ACETILSALICILICO ACIDO + CLORFENAMINA + CAFEINA + FENILEFRINA,,
1358,1,3737A,BEZAFIBRATO,,
869,1,2321A,CLODRONICO ACIDO,,
1350,1,366A,OXIBUTININA,,
