cie9p,Frequency.3,codes,spanish description,english description,comment
76.79          ,160,1736,OTRA REDUCCION ABIERTA DE FRACTURA FACIAL,,
08BN0ZZ        ,160,Unknown,Unknown,,
57.34          ,160,1271,BIOPSIA ABIERTA DE VEJIGA,,
72.0           ,160,Unknown,Unknown,,
38.39          ,160,1134,RESECCION CON ANASTOMOSIS DE VENAS DE MIEMBROS INFERIORES,,
0DJDXZZ        ,159,Unknown,Unknown,,
03.99          ,159,197,OTRAS OPERACIONES SOBRE MEDULA ESPINAL NCOC,,
73.91          ,159,Unknown,Unknown,,
0DBN0ZZ        ,159,Unknown,Unknown,,
0DBW0ZZ        ,159,Unknown,Unknown,,
77.77          ,159,1814,ESCISION DE HUESO PARA INJERTO DE TIBIA Y PERONE,,
4A1H7CZ        ,159,Unknown,Unknown,,
64.91          ,159,578,CORTE DORSAL O LATERAL DE PREPUCIO,,
89.32          ,159,1806,MANOMETRIA ESOFAGICA,,
0CB1XZZ        ,159,Unknown,Unknown,,
0T25X0Z        ,158,Unknown,Unknown,,
0HPT0NZ        ,158,Unknown,Unknown,,
B31RZZZ        ,158,Unknown,Unknown,,
4A04XR1        ,158,Unknown,Unknown,,
22.51          ,158,583,ETMOIDOTOMIA,,
0UT9FZZ        ,158,Unknown,Unknown,,
BH40ZZZ        ,158,Unknown,Unknown,,
0T9130Z        ,158,Unknown,Unknown,,
0JBR0ZZ        ,158,Unknown,Unknown,,
77.40          ,158,Unknown,Unknown,,
BN201ZZ        ,158,Unknown,Unknown,,
77.18          ,158,1060,OTRA INCISION DE HUESO SIN DIVISION TARSIANOS Y METATARSIANO,,
78.49          ,158,940,PLASTIA EN OTRO HUESO,,
76.11          ,157,910,BIOPSIA DE HUESO FACIAL,,
0SRB03Z        ,157,Unknown,Unknown,,
BF10YZZ        ,157,Unknown,Unknown,,
081Y3Z3        ,157,Unknown,Unknown,,
83.02          ,157,1249,MIOTOMIA,,
15.3           ,156,1876,"OPER.S/DOS O MAS M.EXTRAOCUL.C/DESPR.TEMP.GLOBO,UN O AMB.OJO",,
48.25          ,156,Unknown,Unknown,,
0UB70ZZ        ,156,Unknown,Unknown,,
44.99          ,156,808,OTRA OPERACION SOBRE ESTOMAGO NCOC,,
78.51          ,156,331,FIJ.INT.ESCAP.CLAV.Y TORAX [COSTIL.Y ESTERNON]SIN RED. FRACT,,
BF35Y0Z        ,156,Unknown,Unknown,,
08.23          ,155,892,"EXCISION DE LESION IMPORTANTE DE PARPADO, ESPESOR PARCIAL",,
B420YZZ        ,155,Unknown,Unknown,,
86.95          ,155,Unknown,Unknown,,
55.11          ,155,Unknown,Unknown,,
B020YZZ        ,155,Unknown,Unknown,,
93.93          ,155,Unknown,Unknown,,
82.79          ,155,Unknown,Unknown,,
77.73          ,155,1578,ESCISION DE HUESO PARA INJERTO DE RADIO Y CUBITO,,
52.13          ,155,Unknown,Unknown,,
08SN0ZZ        ,154,Unknown,Unknown,,
0RG20A0        ,154,Unknown,Unknown,,
35.96          ,154,1447,VALVULOPLASTIA PERCUTANEA CON GLOBO,,
09BK4ZZ        ,154,Unknown,Unknown,,
B30RZZZ        ,154,Unknown,Unknown,,
0QHN04Z        ,154,Unknown,Unknown,,
0QS706Z        ,154,Unknown,Unknown,,
0UDB7ZZ        ,153,Unknown,Unknown,,
3E013VJ        ,153,Unknown,Unknown,,
48.99          ,153,1076,OTRA OPERACION SOBRE RECTO Y TEJIDO PERIRECTAL NCOC,,
0WB20ZZ        ,153,Unknown,Unknown,,
09BQ4ZZ        ,153,Unknown,Unknown,,
75.99          ,153,1562,OTRAS OPERACIONES OBSTETRICAS NCOC,,
08.35          ,153,939,REPARACION DE BLEFAROPTOSIS POR OTRA TECNICA TARSIANA,,
22.9           ,153,1025,OTRAS OPERACIONES SOBRE SENOS NASALES,,
50.13          ,152,565,BIOPSIA HEPATICA TRANSYUGULAR,,
31.45          ,152,516,BIOPSIA ABIERTA DE LARIGE O TRAQUEA,,
0HPU0NZ        ,152,Unknown,Unknown,,
35.71          ,152,Unknown,Unknown,,
B246ZZ3        ,152,Unknown,Unknown,,
86.87          ,152,760,INJERTO DE GRASA DE PIEL Y TEJIDO SUBCUTANEO,,
BW2GZZZ        ,152,Unknown,Unknown,,
50.99          ,152,Unknown,Unknown,,
BR30Y0Z        ,151,Unknown,Unknown,,
3E0CXSF        ,151,Unknown,Unknown,,
00.01          ,151,Unknown,Unknown,,
99.08          ,151,Unknown,Unknown,,
76.66          ,150,963,OSTEOPLASTIA TOTAL [OSTEOTOMIA] DE MAXILAR,,
BW2F1ZZ        ,150,Unknown,Unknown,,
0HBNXZZ        ,150,Unknown,Unknown,,
89.24          ,150,Unknown,Unknown,,
0DB58ZX        ,150,Unknown,Unknown,,
F07C6YZ        ,150,Unknown,Unknown,,
0SR904A        ,150,Unknown,Unknown,,
4A1HX4Z        ,150,Unknown,Unknown,,
0MB24ZZ        ,150,Unknown,Unknown,,
64.11          ,150,1239,BIOPSIA DE PENE,,
44.49          ,150,Unknown,Unknown,,
0JX10ZB        ,150,Unknown,Unknown,,
0VB60ZZ        ,149,Unknown,Unknown,,
5A09358        ,149,Unknown,Unknown,,
0FBG0ZZ        ,149,Unknown,Unknown,,
77.15          ,149,Unknown,Unknown,,
0WJG4ZZ        ,149,Unknown,Unknown,,
0L814ZZ        ,149,Unknown,Unknown,,
0TCB8ZZ        ,149,Unknown,Unknown,,
34.79          ,149,Unknown,Unknown,,
28.92          ,149,494,EXCISION DE LESION DE AMIGDALA Y ADENOIDES,,
09.49          ,149,Unknown,Unknown,,
93.09          ,149,Unknown,Unknown,,
0UT60ZZ        ,149,Unknown,Unknown,,
93.55          ,149,Unknown,Unknown,,
0TT00ZZ        ,149,Unknown,Unknown,,
55.24          ,148,1172,BIOPSIA ABIERTA DE RIÑON,,
0DBQXZZ        ,148,Unknown,Unknown,,
83.75          ,148,1925,TRANSFERENCIA O TRASPLANTE DE TENDON,,
B320ZZZ        ,148,Unknown,Unknown,,
78.44          ,148,261,PLASTIA EN CARPIANOS Y METACARPIANOS,,
00.62          ,148,Unknown,Unknown,,
06DY3ZZ        ,148,Unknown,Unknown,,
0DJD7ZZ        ,148,Unknown,Unknown,,
99.55          ,148,Unknown,Unknown,,
0SRB0JA        ,147,Unknown,Unknown,,
BD47ZZZ        ,147,Unknown,Unknown,,
0H51XZZ        ,147,Unknown,Unknown,,
75.91          ,147,Unknown,Unknown,,
26.0           ,147,1094,INCISION DE GLANDULAS O CONDUCTO SALIVAL,,
0JH608Z        ,147,Unknown,Unknown,,
46.40          ,147,Unknown,Unknown,,
0TC78ZZ        ,147,Unknown,Unknown,,
42.42          ,147,Unknown,Unknown,,
40.50          ,147,Unknown,Unknown,,
76.5           ,146,1128,ARTROPLASTIA TEMPOROMANDIBULAR,,
0F943ZZ        ,146,Unknown,Unknown,,
79.04          ,146,Unknown,Unknown,,
0DBP0ZZ        ,146,Unknown,Unknown,,
58.47          ,146,895,MEATOPLASTIA URETRAL,,
0JPT3PZ        ,146,Unknown,Unknown,,
60.18          ,146,471,OTROS PROC.DIAGN. SOBRE PROSTATA Y TEJIDO PERIPROSTATICO,,
0JBL0ZZ        ,146,Unknown,Unknown,,
95.11          ,146,Unknown,Unknown,,
0UQG0ZZ        ,145,Unknown,Unknown,,
F00ZHZZ        ,145,Unknown,Unknown,,
0TT04ZZ        ,145,Unknown,Unknown,,
52.22          ,145,Unknown,Unknown,,
0PSK04Z        ,145,Unknown,Unknown,,
34.1           ,144,Unknown,Unknown,,
GZ56ZZZ        ,144,Unknown,Unknown,,
89.12          ,144,Unknown,Unknown,,
03.79          ,144,Unknown,Unknown,,
86.19          ,144,123,OTROS PROC. DIAGN. SOBRE PIEL Y TEJIDO SUBCUTANEO,,
0TP980Z        ,144,Unknown,Unknown,,
0L870ZZ        ,144,Unknown,Unknown,,
0VB70ZZ        ,144,Unknown,Unknown,,
0SRR019        ,144,Unknown,Unknown,,
08QP0ZZ        ,144,Unknown,Unknown,,
0UTC8ZZ        ,144,Unknown,Unknown,,
09BR4ZZ        ,143,Unknown,Unknown,,
0SBC0ZZ        ,143,Unknown,Unknown,,
0CBT8ZX        ,143,Unknown,Unknown,,
81.49          ,143,448,OTRA REPARACION DE TOBILLO,,
78.56          ,143,1849,FIJ.INY. DE ROTULA SIN REDUCCION DE FRACTURA,,
0HBFXZZ        ,143,Unknown,Unknown,,
0LQV0ZZ        ,143,Unknown,Unknown,,
05HP33Z        ,143,Unknown,Unknown,,
53.16          ,143,937,"OTRA REPARACION Y REPARACION ABIERTA BILATERAL DE HERNIA INGUINAL, UNA DIRECTA Y OTRA INDIRECTA, CON INJERTO O PROTESIS",,
79.85          ,143,1843,REDUCCION ABIERTA DE LUXACION DE CADERA,,
93.14          ,143,Unknown,Unknown,,
02RW0JZ        ,142,Unknown,Unknown,,
BQ0GZZZ        ,142,Unknown,Unknown,,
0RQK4ZZ        ,142,Unknown,Unknown,,
0UT10ZZ        ,142,Unknown,Unknown,,
0WQF4ZZ        ,142,Unknown,Unknown,,
06.31          ,142,514,EXCISION DE LESION DE TIROIDES,,
27.51          ,142,Unknown,Unknown,,
79.38          ,142,1596,RED. ABIERTA DE FRACT CON FIJACION INTERNA-FALANGES DE PIE,,
53.63          ,141,744,OTRA RREPARACION LAPAROSCOPICA DE OTRA HERNIA DE PARED ABDOMINAL ANTERIOR CON INJERTO O PROTESIS,,
10.44          ,141,102,OTRO INJERTO LIBRE A LA CONJUNTIVA,,
B44BZZ3        ,141,Unknown,Unknown,,
76.19          ,141,Unknown,Unknown,,
0SG3071        ,141,Unknown,Unknown,,
BQ0HZZZ        ,141,Unknown,Unknown,,
14.55          ,141,418,REPARACION DE DESPRENDIMIENTO RETINAL CON FOTOCOAG. NO ESPEC,,
0HBMXZZ        ,141,Unknown,Unknown,,
BP09ZZZ        ,141,Unknown,Unknown,,
0SRV0J9        ,140,Unknown,Unknown,,
83.45          ,140,Unknown,Unknown,,
91.03          ,140,Unknown,Unknown,,
08SP0ZZ        ,140,Unknown,Unknown,,
37.73          ,140,1455,INSERCION INICIAL ELECTRODOS TRANSVENOSOS EN ATRIO,,
83.96          ,140,Unknown,Unknown,,
91.02          ,140,Unknown,Unknown,,
06DP3ZZ        ,140,Unknown,Unknown,,
0JH605Z        ,140,Unknown,Unknown,,
0TPB70Z        ,139,Unknown,Unknown,,
62.99          ,139,740,OTRA OPERACION SOBRE TESTICULO NCOC,,
51.12          ,139,Unknown,Unknown,,
71.62          ,139,1160,VULVECTOMIA BILATERAL,,
70.55          ,139,Unknown,Unknown,,
0JQC3ZZ        ,139,Unknown,Unknown,,
3E0330M        ,139,Unknown,Unknown,,
88.03          ,139,Unknown,Unknown,,
F02ZBZZ        ,139,Unknown,Unknown,,
34.01          ,139,1755,INCISION DE PARED TORACICA,,
97.49          ,139,Unknown,Unknown,,
0SGQ04Z        ,139,Unknown,Unknown,,
00.55          ,139,Unknown,Unknown,,
45.83          ,138,83,OTRA COLECTOMIA TOTAL INTRAABDOMINAL Y LAS NO ESPECIFICADAS,,
0JB00ZZ        ,138,Unknown,Unknown,,
0JH63XZ        ,138,Unknown,Unknown,,
31.48          ,138,1429,OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE LARINGE,,
0HB9XZZ        ,138,Unknown,Unknown,,
99.12          ,137,Unknown,Unknown,,
0SSF04Z        ,137,Unknown,Unknown,,
0TF38ZZ        ,137,Unknown,Unknown,,
081X3Z3        ,137,Unknown,Unknown,,
0C9PXZZ        ,137,Unknown,Unknown,,
92.11          ,137,Unknown,Unknown,,
0DTK0ZZ        ,137,Unknown,Unknown,,
09.73          ,136,Unknown,Unknown,,
0VH031Z        ,136,Unknown,Unknown,,
0HHT0NZ        ,136,Unknown,Unknown,,
99.75          ,136,Unknown,Unknown,,
00.03          ,136,Unknown,Unknown,,
3E013HZ        ,136,Unknown,Unknown,,
82.42          ,136,Unknown,Unknown,,
0UB97ZZ        ,136,Unknown,Unknown,,
06DQ3ZZ        ,136,Unknown,Unknown,,
06.95          ,135,Unknown,Unknown,,
0TUC7JZ        ,135,Unknown,Unknown,,
C75M1ZZ        ,135,Unknown,Unknown,,
0TT10ZZ        ,135,Unknown,Unknown,,
3E013NZ        ,135,Unknown,Unknown,,
81.14          ,135,736,ARTRODESIS MEDIO TARSIANA,,
0QSF04Z        ,135,Unknown,Unknown,,
56.71          ,135,Unknown,Unknown,,
0TPDX0Z        ,135,Unknown,Unknown,,
0QHP04Z        ,134,Unknown,Unknown,,
37.99          ,134,1872,OTRA OPERACION SOBRE CORAZON Y PERICARDIO NCOC,,
0QRF0JZ        ,134,Unknown,Unknown,,
51.86          ,134,Unknown,Unknown,,
93.57          ,134,384,APLICACION DE OTRO VENDAJE DE HERIDA,,
0HRU37Z        ,134,Unknown,Unknown,,
5A09458        ,134,Unknown,Unknown,,
0JBF0ZZ        ,133,Unknown,Unknown,,
70.12          ,133,Unknown,Unknown,,
0TF48ZZ        ,133,Unknown,Unknown,,
0DBL8ZX        ,133,Unknown,Unknown,,
0WHR7YZ        ,133,Unknown,Unknown,,
BH41ZZZ        ,133,Unknown,Unknown,,
0SPB0JZ        ,133,Unknown,Unknown,,
90.94          ,133,1654,E.M. MUESTRA TRACTO GASTROINT.INF. Y HECES PARASITOLOGIA,,
12.66          ,133,Unknown,Unknown,,
06LP0ZZ        ,133,Unknown,Unknown,,
50.14          ,133,501,BIOPSIA HEPATICA LAPAROSCOPICA,,
BR09ZZ1        ,133,Unknown,Unknown,,
45.26          ,133,527,BIOPSIA ABIERTA DE INTESTINO GRUESO,,
BW3GZZZ        ,133,Unknown,Unknown,,
38.82          ,132,Unknown,Unknown,,
02H63KZ        ,132,Unknown,Unknown,,
B240ZZZ        ,132,Unknown,Unknown,,
44.61          ,132,298,SUTURA DE DESGARRO DEL ESTOMAGO,,
30233P1        ,132,Unknown,Unknown,,
0JH609Z        ,132,Unknown,Unknown,,
0D9Q7ZZ        ,132,Unknown,Unknown,,
08.91          ,132,Unknown,Unknown,,
55.53          ,131,Unknown,Unknown,,
66.21          ,131,1068,LIGADURA Y APLASTAMIENTO ENDOSCOPICO BILATERALES DE T.DE FAL,,
20.41          ,131,1882,MASTOIDECTOMIA SIMPLE,,
0UBMXZZ        ,131,Unknown,Unknown,,
0CBV8ZX        ,130,Unknown,Unknown,,
B44FZZZ        ,130,Unknown,Unknown,,
089330Z        ,130,Unknown,Unknown,,
96.06          ,130,Unknown,Unknown,,
0SBD0ZZ        ,130,Unknown,Unknown,,
08BP0ZZ        ,130,Unknown,Unknown,,
12.72          ,130,Unknown,Unknown,,
0BBM8ZX        ,130,Unknown,Unknown,,
4A11X4G        ,129,Unknown,Unknown,,
53.72          ,129,1506,"OTRA REPARACION Y REPARACION ABIERTA DE HERNIA DIAFRAGMATICA, ACCESO ABDOMINAL",,
BR37Y0Z        ,129,Unknown,Unknown,,
73.1           ,129,Unknown,Unknown,,
0SG10A1        ,129,Unknown,Unknown,,
015R3ZZ        ,129,Unknown,Unknown,,
BT41ZZZ        ,129,Unknown,Unknown,,
10.21          ,129,1364,BIOPSIA DE CONJUNTIVA,,
31.93          ,129,Unknown,Unknown,,
34.81          ,129,Unknown,Unknown,,
68.4           ,129,1141,HISTERECTOMIA ABDOMINAL TOTAL,,
44.44          ,128,1861,EMBOLIZACION TRANSCATETER POR HEMORRAGIA GASTRICA O DUODENAL,,
B34RZZ3        ,128,Unknown,Unknown,,
0JBM0ZZ        ,128,Unknown,Unknown,,
81.15          ,128,173,ARTRODESIS TARSO METATARSIANA,,
BW2FYZZ        ,128,Unknown,Unknown,,
91.31          ,128,Unknown,Unknown,,
F01Z9JZ        ,128,Unknown,Unknown,,
3E043WL        ,128,Unknown,Unknown,,
72.54          ,127,Unknown,Unknown,,
0YQ50ZZ        ,127,Unknown,Unknown,,
0LB80ZZ        ,127,Unknown,Unknown,,
0RQH4ZZ        ,127,Unknown,Unknown,,
0W9F3ZZ        ,127,Unknown,Unknown,,
025S3ZZ        ,127,Unknown,Unknown,,
67.11          ,127,1100,BIOPSIA ENDOCERVICAL,,
0SG10J1        ,127,Unknown,Unknown,,
025T3ZZ        ,127,Unknown,Unknown,,
0DB78ZX        ,127,Unknown,Unknown,,
00.54          ,126,1334,"IMPLANTACION O SUSTITUCION DE DESFIBRILADOR DE RESINCRONIZACION CARDIACA, SOLO DISPOSITIVO GENERADOR DE PULSO [CRT-D] ",,
02100A9        ,126,Unknown,Unknown,,
98.20          ,126,971,"EXTRACCION DE CUERPO EXTRAÑO, N. E. O. M.",,
0SRC0JA        ,126,Unknown,Unknown,,
0SRW0J9        ,126,Unknown,Unknown,,
0UT50ZZ        ,126,Unknown,Unknown,,
B236YZZ        ,126,Unknown,Unknown,,
70.73          ,126,Unknown,Unknown,,
11.49          ,126,1367,OTRA EXTIRPACION O DESTRUCCION DE LESION CORNEAL,,
30243K1        ,126,Unknown,Unknown,,
B54TZZ3        ,126,Unknown,Unknown,,
81.46          ,126,664,OTRA REPARACION DE LOS LIGAMENTOS COLATERALES,,
0SP90JZ        ,126,Unknown,Unknown,,
69.96          ,125,163,EXTRACCION DE MATERIAL DE CERCLAJE DE CUELLO,,
BF37ZZZ        ,125,Unknown,Unknown,,
B310YZZ        ,125,Unknown,Unknown,,
87.15          ,125,Unknown,Unknown,,
02HL3KZ        ,125,Unknown,Unknown,,
0B9N30Z        ,125,Unknown,Unknown,,
0D568ZZ        ,125,Unknown,Unknown,,
57.93          ,124,Unknown,Unknown,,
25.59          ,124,Unknown,Unknown,,
3E05317        ,124,Unknown,Unknown,,
07.11          ,124,1689,BIOPSIA PERCUTANEA (AGUJA) DE GLANDULA SUPRARRENAL,,
BW30Y0Z        ,124,Unknown,Unknown,,
0F798ZZ        ,124,Unknown,Unknown,,
22.11          ,124,Unknown,Unknown,,
78.42          ,124,214,PLASTIA EN HUMERO,,
79.26          ,124,Unknown,Unknown,,
96.55          ,124,Unknown,Unknown,,
12.73          ,123,Unknown,Unknown,,
77.36          ,123,1570,OSTEOARTROTOMIA DE ROTULA,,
37.31          ,123,Unknown,Unknown,,
27.56          ,123,1420,OTRO INJERTO DE PIEL APLICADO A LABIO Y CAVIDAD BUCAL,,
0D9W3ZZ        ,123,Unknown,Unknown,,
F08G5BZ        ,123,Unknown,Unknown,,
12.81          ,123,Unknown,Unknown,,
B420ZZZ        ,123,Unknown,Unknown,,
0W9F30Z        ,123,Unknown,Unknown,,
99.99          ,122,1676,OTRO PROCEDIMIENTO MISCELANEO NCOC,,
41.91          ,122,390,ASPIRACION DE MEDULA OSEA DE DONANTE PARA TRASPLANTE,,
0JBD0ZZ        ,122,Unknown,Unknown,,
04.5           ,122,Unknown,Unknown,,
80.24          ,122,1126,ARTROSCOPIA DE MANO Y DEDO DE MANO,,
89.63          ,122,Unknown,Unknown,,
63.4           ,122,468,EPIDIDIMECTOMIA,,
BF47ZZZ        ,122,Unknown,Unknown,,
0TP900Z        ,122,Unknown,Unknown,,
0RG10A0        ,122,Unknown,Unknown,,
0FB04ZX        ,122,Unknown,Unknown,,
0VLQ0ZZ        ,122,Unknown,Unknown,,
07B74ZX        ,121,Unknown,Unknown,,
3E043KZ        ,121,Unknown,Unknown,,
93.35          ,121,Unknown,Unknown,,
03.02          ,121,805,REAPERTURA DE SITIO DE LAMINECTOMIA,,
0YU80JZ        ,121,Unknown,Unknown,,
10H073Z        ,121,Unknown,Unknown,,
0UT00ZZ        ,121,Unknown,Unknown,,
77.47          ,120,Unknown,Unknown,,
0LQ10ZZ        ,120,Unknown,Unknown,,
89.08          ,120,Unknown,Unknown,,
4A0971Z        ,120,Unknown,Unknown,,
0SRR0JZ        ,120,Unknown,Unknown,,
0HDRXZZ        ,120,Unknown,Unknown,,
81.43          ,120,1701,REPARACION DE UNA TRIADA DE RODILLA,,
00160J6        ,120,Unknown,Unknown,,
00.57          ,120,1743,IMPLANTACION O SUSTITUCION DE DISPOSITIVO SUBCUTANEO PARA MONITORIZACION HEMODINAMICA INTRACARDIACA O DE GRANDES VASOS,,
4A0ZX6Z        ,120,Unknown,Unknown,,
50.23          ,120,73,ABLACION ABIERTA DE LESION O TEJIDO DE HIGADO,,
56.91          ,120,Unknown,Unknown,,
83.43          ,119,Unknown,Unknown,,
F08Z2FZ        ,119,Unknown,Unknown,,
45.61          ,119,1812,RESECCION SEGMENTARIA MULTIPLE DE INTESTINO DELGADO,,
0FB00ZZ        ,119,Unknown,Unknown,,
3E0K705        ,119,Unknown,Unknown,,
0QB30ZZ        ,119,Unknown,Unknown,,
80.42          ,119,429,DIV. CAPS. LIG O CART. DE ARTICULACION DE CODO,,
3E0437Z        ,119,Unknown,Unknown,,
3E033TZ        ,119,Unknown,Unknown,,
10D18ZZ        ,119,Unknown,Unknown,,
37.74          ,118,Unknown,Unknown,,
0HTV0ZZ        ,118,Unknown,Unknown,,
06BY3ZC        ,118,Unknown,Unknown,,
46.93          ,118,Unknown,Unknown,,
08QNXZZ        ,118,Unknown,Unknown,,
BR07ZZZ        ,118,Unknown,Unknown,,
0J080ZZ        ,118,Unknown,Unknown,,
81.23          ,118,1105,ARTRODESIS DE HOMBRO,,
5A09459        ,118,Unknown,Unknown,,
BB2410Z        ,118,Unknown,Unknown,,
3E0D729        ,118,Unknown,Unknown,,
08.34          ,117,17,REPARACION DE BLEFAROPTOSIS POR OTRAS TECN.DEL MUSCULO ELEVA,,
0D1B4Z4        ,117,Unknown,Unknown,,
0WBF0ZZ        ,117,Unknown,Unknown,,
0GBH0ZZ        ,117,Unknown,Unknown,,
42.29          ,117,Unknown,Unknown,,
45.49          ,117,817,OTRA ELIMINACION O EXERESIS DE LESION DE INTESTINO GRUESO,,
079T3ZX        ,117,Unknown,Unknown,,
BW4GZZZ        ,117,Unknown,Unknown,,
0DTG0ZZ        ,117,Unknown,Unknown,,
85.35          ,117,40,MASTECTOMIA SUBCUTANEA BILATERAL CON IMPLANTACION SIMULTANEA,,
36.10          ,117,1090,ANASTOMOSIS AORTOCORONARIA PARA REVASCULARIZACION CARDIACA,,
031709D        ,117,Unknown,Unknown,,
30233N0        ,117,Unknown,Unknown,,
02.99          ,117,466,"OTRA OPERACION SOBRE CRANEO,CEREBRO Y MENINGES CEREBRALES",,
0CB4XZX        ,117,Unknown,Unknown,,
71.5           ,116,Unknown,Unknown,,
0HRV0JZ        ,116,Unknown,Unknown,,
0JB50ZZ        ,116,Unknown,Unknown,,
78.43          ,116,1804,PLASTIA EN RADIO Y CUBITO,,
0LQW0ZZ        ,116,Unknown,Unknown,,
0HRT37Z        ,116,Unknown,Unknown,,
27.22          ,116,Unknown,Unknown,,
00.75          ,116,Unknown,Unknown,,
84.10          ,116,1781,"AMPUTACION DE MIEMBRO INFERIOR, N. E. O. M.",,
79.84          ,116,1598,REDUCCION ABIERTA DE LUXACION DE MANO Y DEDO DE MANO,,
0SRU0JA        ,116,Unknown,Unknown,,
3E0V3GC        ,116,Unknown,Unknown,,
70.4           ,115,Unknown,Unknown,,
49.71          ,115,Unknown,Unknown,,
48.29          ,115,Unknown,Unknown,,
0TP9X0Z        ,115,Unknown,Unknown,,
22.64          ,115,1408,ESFENOIDECTOMIA,,
27.73          ,115,1422,REPARACION DE UVULA,,
27.99          ,115,880,OTRAS OPERACIONES SOBRE LA CAVIDAD ORAL,,
0WB2XZZ        ,115,Unknown,Unknown,,
3E0U3BZ        ,115,Unknown,Unknown,,
0DT60ZZ        ,115,Unknown,Unknown,,
05PY33Z        ,115,Unknown,Unknown,,
0TFB8ZZ        ,115,Unknown,Unknown,,
37.49          ,115,1681,OTRA REPARACION DE CORAZON Y PERICARDIO,,
80.36          ,114,1606,BIOPSIA ARTICULAR DE RODILLA,,
03.32          ,114,Unknown,Unknown,,
88.29          ,114,Unknown,Unknown,,
31.3           ,114,1428,OTRA INCISION DE LARINGE O TRAQUEA,,
0RRK00Z        ,114,Unknown,Unknown,,
96.37          ,114,Unknown,Unknown,,
00.91          ,114,572,TRASPLANTE PROCEDENTE DE DONANTE VIVO EMPARENTADO ,,
0SRT0JA        ,114,Unknown,Unknown,,
79.74          ,114,Unknown,Unknown,,
08QPXZZ        ,114,Unknown,Unknown,,
0TC68ZZ        ,114,Unknown,Unknown,,
78.12          ,114,1735,APLICACION DISPOSITIVO EXTERNO EN HUMERO,,
3E0L3GC        ,114,Unknown,Unknown,,
0UT7FZZ        ,113,Unknown,Unknown,,
00B10ZZ        ,113,Unknown,Unknown,,
82.22          ,113,1254,EXCISION DE LESION DE MUSCULO DE MANO,,
0DBN8ZZ        ,113,Unknown,Unknown,,
0BBC3ZX        ,113,Unknown,Unknown,,
3E1M39Z        ,113,Unknown,Unknown,,
45.22          ,113,1480,ENDOSCOPIA DE INTESTINO GRUESO A TRAVES DE ESTOMA ARTIFICIAL,,
0DQ80ZZ        ,113,Unknown,Unknown,,
83.62          ,113,Unknown,Unknown,,
77.19          ,113,Unknown,Unknown,,
0SR904Z        ,113,Unknown,Unknown,,
94.45          ,113,Unknown,Unknown,,
52.12          ,113,1502,BIOPSIA ABIERTA DE PANCREAS,,
27.79          ,112,732,OTRAS OPERACIONES SOBRE UVULA,,
38.34          ,112,Unknown,Unknown,,
0RBJ4ZZ        ,112,Unknown,Unknown,,
0TUC8JZ        ,112,Unknown,Unknown,,
B33RYZZ        ,112,Unknown,Unknown,,
0SGM04Z        ,112,Unknown,Unknown,,
0VTT0ZZ        ,112,Unknown,Unknown,,
68.8           ,112,Unknown,Unknown,,
90.55          ,112,Unknown,Unknown,,
0D558ZZ        ,112,Unknown,Unknown,,
17.55          ,111,Unknown,Unknown,,
78.48          ,111,521,PLASTIA EN TARSIANOS Y METATARSIANOS,,
0DTB0ZZ        ,111,Unknown,Unknown,,
34.72          ,111,Unknown,Unknown,,
0QBQ3ZZ        ,111,Unknown,Unknown,,
0YQ60ZZ        ,111,Unknown,Unknown,,
0BTC0ZZ        ,111,Unknown,Unknown,,
0WQFXZZ        ,111,Unknown,Unknown,,
0U9L0ZZ        ,111,Unknown,Unknown,,
0W9830Z        ,111,Unknown,Unknown,,
08Q8XZZ        ,111,Unknown,Unknown,,
0USG0ZZ        ,111,Unknown,Unknown,,
B42HYZZ        ,110,Unknown,Unknown,,
43.6           ,110,386,GASTRECTOMIA PARCIAL CON ANASTOMOSIS AL DUODENO,,
0BP1XFZ        ,110,Unknown,Unknown,,
0QPK04Z        ,110,Unknown,Unknown,,
18.4           ,110,Unknown,Unknown,,
12.12          ,110,243,OTRA IRIDOTOMIA,,
57.83          ,110,Unknown,Unknown,,
32.5           ,110,1434,NEUMONECTOMIA,,
0FPB8DZ        ,110,Unknown,Unknown,,
04.12          ,110,902,BIOPSIA ABIERTA DE NERVIO O GANGLIO CRANEAL O PERIFERICO,,
92.13          ,109,Unknown,Unknown,,
0QQQ0ZZ        ,109,Unknown,Unknown,,
3E0E33Z        ,109,Unknown,Unknown,,
0QP004Z        ,109,Unknown,Unknown,,
08UE3JZ        ,109,Unknown,Unknown,,
82.46          ,109,1622,SUTURA DE MUSCULO O FASCIA DE MANO,,
0TBB7ZZ        ,109,Unknown,Unknown,,
65.62          ,109,1039,EXTIRPACION DE OVARIO Y TROMPA RESTANTES,,
0HST0ZZ        ,109,Unknown,Unknown,,
49.52          ,109,999,ESFINTEROTOMIA ANAL POSTERIOR,,
46.76          ,109,289,CIERRE DE FISTULA DE INTESTINO GRUESO,,
04.01          ,109,1819,EXCISION DE NEUROMA ACUSTICO,,
06.52          ,109,138,TIROIDECTOMIA SUBESTERNAL TOTAL,,
34.23          ,109,Unknown,Unknown,,
0HBGXZZ        ,109,Unknown,Unknown,,
0UDB8ZX        ,109,Unknown,Unknown,,
15.13          ,108,520,RESECCION DE UN MUSCULO EXTRAOCULAR,,
